email,company,website,phone,city,state,country,google_maps_url,lead_score,email_source,send_tier,mx_ok
apartments.praga@gmail.com,PRAGA APARTMENTS,https://www.instagram.com/praga.apartments/?hl=en,+593 95 953 4489,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=PRAGA%20APARTMENTS&query_place_id=ChIJsywC6JJtLZARloxz3-6DbUE,95,csv,reject,False
//cdn.jsdelivr.net/npm/bootstrap@4.6.2,Renato Lainez,http://buganville.com/,+593 99 312 9210,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Renato%20Lainez&query_place_id=ChIJayIZFyJ1LZARvXX7MEodxeA,75,free_scrape,reject,False
18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com,Urbanización CostaSol,https://costasol.com.ec/,+593 98 040 4040,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Urbanizaci%C3%B3n%20CostaSol&query_place_id=ChIJy89jAqF3LZARUN-1oWF16c4,75,free_scrape,reject,False
460ff4620fa44cba8df530afde949785@sentry.wixpress.com,Terranostra,https://www.terranostra.com.ec/,+593 97 983 5680,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Terranostra&query_place_id=ChIJdZiG8gFzLZARoYBK9jMMc1o,75,free_scrape,reject,False
c183baa23371454f99f417f6616b724d@sentry.wixpress.com,Los Lienzos,http://www.promotorahidalgo.com/,+593 99 750 0533,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Los%20Lienzos&query_place_id=ChIJRVsSUSVzLZARxpvrG8uKBTI,75,free_scrape,reject,False
centralbodega@icloud.com,InmobilIaria Caracol,http://www.inmobiliariacaracol.com/,+593 99 229 0830,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=InmobilIaria%20Caracol&query_place_id=ChIJoTKNst5zLZAR9buy6XfUFP8,75,free_scrape,reject,False
commercial.alfabienes@gmail.com,ABR Commercial (ALFA Bienes Raíces),http://www.alfabienes.com/,+593 99 383 3168,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=ABR%20Commercial%20(ALFA%20Bienes%20Ra%C3%ADces)&query_place_id=ChIJqUH2U3ptLZARPVqhS70j2vM,75,free_scrape,reject,False
contacto@empresa.com,Paseo Tablado Zona Franca - Guayaquil,https://www.paseotablado.com/,+593 99 368 1749,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Paseo%20Tablado%20Zona%20Franca%20-%20Guayaquil&query_place_id=ChIJvR3t5TA87YARjripY-nplNk,75,free_scrape,reject,False
contacto@proyecta.ec,Urbanización Alba Del Bosque,https://albadelbosque.com.ec/,+593 99 006 0300,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Urbanizaci%C3%B3n%20Alba%20Del%20Bosque&query_place_id=ChIJF-IwTN51LZAR9QwG0TuHiK4,75,free_scrape,reject,False
magalygonzalez@c21elite.com.ec,Beth Parrales Bienes Raices,https://century21.com.ec/asesor/19_beth-parrales-giler,+593 93 916 9791,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Beth%20Parrales%20Bienes%20Raices&query_place_id=ChIJWeuQ2RVtLZARsnuVr3-bpIA,75,free_scrape,reject,False
nin@s.queremos,Plaza Sai Baba - Juan Tanca Marengo,http://inmobsaibaba.com/,+593 99 841 2987,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Plaza%20Sai%20Baba%20-%20Juan%20Tanca%20Marengo&query_place_id=ChIJyRBfBHxtLZAR6J-NYEnUATE,75,free_scrape,reject,False
nombre@mail.com,Máster Inmobiliario,https://www.plusvalia.com/inmobiliarias/master-inmobiliario_50271852-inmuebles.html,+593 99 800 5491,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=M%C3%A1ster%20Inmobiliario&query_place_id=ChIJGUpuC0ttLZARVInWEfGOt_8,75,free_scrape,reject,False
orlando@gmail.com,Bosko,https://www.bosko.ec/,+593 99 089 9466,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Bosko&query_place_id=ChIJqfVFPgB1LZAR4XmY1F9lYOs,75,free_scrape,reject,False
oym@marclub.com,Punta Blanca,http://www.puntablanca.com/,+593 4-228-4050,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Punta%20Blanca&query_place_id=ChIJXWzAJJVtLZARBpw36YQt1R0,75,csv,reject,False
servicioalcliente@galilea.ec,Urb. Villa blanca,http://villablanca.ec/,+593 4-393-0142,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Urb.%20Villa%20blanca&query_place_id=ChIJXRTHPxp3LZAR2lBsPVllXEU,75,free_scrape,reject,False
spam-trap-no-reply@example.invalid,GeoBienes,http://geobienes.com/,+593 99 925 6900,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=GeoBienes&query_place_id=ChIJFYD8H6RtLZARjQHtGSuOFa4,75,free_scrape,reject,False
josue-torres23@hotmail.com,Inmohaus360,http://inmohaus360.com/,,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Inmohaus360&query_place_id=ChIJqbFz6G1tLZARoa9782-Qn8E,65,free_scrape,reject,False
