email,company,website,phone,city,state,country,google_maps_url,lead_score,email_source,send_tier,mx_ok
coordinacion@acbir.com.ec,ACBIR,http://www.acbir.com.ec/,+593 4-462-1527,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=ACBIR&query_place_id=ChIJJaEFLi1sLZAR0w667-D-LEA,75,free_scrape,A_personal_or_named,True
gerencia@grupoproinca.com,Grupo Proinca,https://www.grupoproinca.com/,+593 99 725 4461,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Grupo%20Proinca&query_place_id=ChIJGSEYzb53LZARKVzXMMCSE3I,75,free_scrape,A_personal_or_named,True
ventas@ambiensa.com,Mundo Ambiensa - Sala de ventas,https://www.ambiensa.com/,+593 96 368 4470,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Mundo%20Ambiensa%20-%20Sala%20de%20ventas&query_place_id=ChIJR9Ucjtd3LZAR99t_9-yP810,75,free_scrape,A_personal_or_named,True
ventas@conspromavi.com,CONSPROMAVI S.A Constructora y Bienes Raices,https://conspromavi.com/,+593 4-213-2574,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=CONSPROMAVI%20S.A%20Constructora%20y%20Bienes%20Raices&query_place_id=ChIJO2HkVBhtLZARrFweollA-Xc,75,free_scrape,A_personal_or_named,True
ventas@portoalegre.com.ec,Urbanización Porto Alegre,https://portoalegre.com.ec/,+593 4-220-7218,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Urbanizaci%C3%B3n%20Porto%20Alegre&query_place_id=ChIJEwVcJv9zLZARwScOtlnVsGI,75,free_scrape,A_personal_or_named,True
ventas@imolux.ec,"Urbanizacion ""ALMANGLA""",https://www.imolux.ec/almangla/,,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Urbanizacion%20%22ALMANGLA%22&query_place_id=ChIJwddak2lzLZARx9y4sc7R4PU,65,free_scrape,A_personal_or_named,True
info@brinter360.com,Brinter 360,https://brinter360.com/,+593 4-390-7281,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Brinter%20360&query_place_id=ChIJIXPl3EdtLZARoAIOGz9fDXs,75,free_scrape,B_safe_role,True
info@inmobiliariamastarreno.com,Inmobiliaria Mastarreno,https://www.inmobiliariamastarreno.com/,+593 96 913 9500,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Inmobiliaria%20Mastarreno&query_place_id=ChIJP-PxgittLZAR5D3DkvkbE5A,75,free_scrape,B_safe_role,True
info@inmocost.com,Costa Gardens,http://www.inmocost.com/,+593 4-268-1385,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Costa%20Gardens&query_place_id=ChIJ086_sQ9zLZARiMyoTQ_VqrM,75,free_scrape,B_safe_role,True
info@narcisaclub.com,NARCISA CLUB,http://www.narcisaclub.com/,+593 93 907 2931,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=NARCISA%20CLUB&query_place_id=ChIJfbUchMYTLZARR8u_cmXJb94,75,free_scrape,B_safe_role,True
info@renacegrupoinmobiliario.com.ec,Renace Grupo Inmobiliario,https://www.renacegrupoinmobiliario.com.ec/,+593 96 806 0919,,,,https://www.google.com/maps/search/?api=1&query=Renace%20Grupo%20Inmobiliario&query_place_id=ChIJE5oRNJdqvwoRj6FQm878sXM,25,free_scrape,B_safe_role,True
