email,company,website,phone,city,state,country,google_maps_url,lead_score,email_source
apartments.praga@gmail.com,PRAGA APARTMENTS,https://www.instagram.com/praga.apartments/?hl=en,+593 95 953 4489,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=PRAGA%20APARTMENTS&query_place_id=ChIJsywC6JJtLZARloxz3-6DbUE,95,csv
//cdn.jsdelivr.net/npm/bootstrap@4.6.2,Renato Lainez,http://buganville.com/,+593 99 312 9210,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Renato%20Lainez&query_place_id=ChIJayIZFyJ1LZARvXX7MEodxeA,75,free_scrape
18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com,Urbanización CostaSol,https://costasol.com.ec/,+593 98 040 4040,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Urbanizaci%C3%B3n%20CostaSol&query_place_id=ChIJy89jAqF3LZARUN-1oWF16c4,75,free_scrape
460ff4620fa44cba8df530afde949785@sentry.wixpress.com,Terranostra,https://www.terranostra.com.ec/,+593 97 983 5680,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Terranostra&query_place_id=ChIJdZiG8gFzLZARoYBK9jMMc1o,75,free_scrape
c183baa23371454f99f417f6616b724d@sentry.wixpress.com,Los Lienzos,http://www.promotorahidalgo.com/,+593 99 750 0533,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Los%20Lienzos&query_place_id=ChIJRVsSUSVzLZARxpvrG8uKBTI,75,free_scrape
centralbodega@icloud.com,InmobilIaria Caracol,http://www.inmobiliariacaracol.com/,+593 99 229 0830,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=InmobilIaria%20Caracol&query_place_id=ChIJoTKNst5zLZAR9buy6XfUFP8,75,free_scrape
commercial.alfabienes@gmail.com,ABR Commercial (ALFA Bienes Raíces),http://www.alfabienes.com/,+593 99 383 3168,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=ABR%20Commercial%20(ALFA%20Bienes%20Ra%C3%ADces)&query_place_id=ChIJqUH2U3ptLZARPVqhS70j2vM,75,free_scrape
contacto@empresa.com,Paseo Tablado Zona Franca - Guayaquil,https://www.paseotablado.com/,+593 99 368 1749,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Paseo%20Tablado%20Zona%20Franca%20-%20Guayaquil&query_place_id=ChIJvR3t5TA87YARjripY-nplNk,75,free_scrape
contacto@proyecta.ec,Urbanización Alba Del Bosque,https://albadelbosque.com.ec/,+593 99 006 0300,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Urbanizaci%C3%B3n%20Alba%20Del%20Bosque&query_place_id=ChIJF-IwTN51LZAR9QwG0TuHiK4,75,free_scrape
coordinacion@acbir.com.ec,ACBIR,http://www.acbir.com.ec/,+593 4-462-1527,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=ACBIR&query_place_id=ChIJJaEFLi1sLZAR0w667-D-LEA,75,free_scrape
gerencia@grupoproinca.com,Grupo Proinca,https://www.grupoproinca.com/,+593 99 725 4461,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Grupo%20Proinca&query_place_id=ChIJGSEYzb53LZARKVzXMMCSE3I,75,free_scrape
info@brinter360.com,Brinter 360,https://brinter360.com/,+593 4-390-7281,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Brinter%20360&query_place_id=ChIJIXPl3EdtLZARoAIOGz9fDXs,75,free_scrape
info@inmobiliariamastarreno.com,Inmobiliaria Mastarreno,https://www.inmobiliariamastarreno.com/,+593 96 913 9500,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Inmobiliaria%20Mastarreno&query_place_id=ChIJP-PxgittLZAR5D3DkvkbE5A,75,free_scrape
info@inmocost.com,Costa Gardens,http://www.inmocost.com/,+593 4-268-1385,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Costa%20Gardens&query_place_id=ChIJ086_sQ9zLZARiMyoTQ_VqrM,75,free_scrape
info@narcisaclub.com,NARCISA CLUB,http://www.narcisaclub.com/,+593 93 907 2931,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=NARCISA%20CLUB&query_place_id=ChIJfbUchMYTLZARR8u_cmXJb94,75,free_scrape
magalygonzalez@c21elite.com.ec,Beth Parrales Bienes Raices,https://century21.com.ec/asesor/19_beth-parrales-giler,+593 93 916 9791,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Beth%20Parrales%20Bienes%20Raices&query_place_id=ChIJWeuQ2RVtLZARsnuVr3-bpIA,75,free_scrape
nin@s.queremos,Plaza Sai Baba - Juan Tanca Marengo,http://inmobsaibaba.com/,+593 99 841 2987,Guayaquil,,EC,https://www.google.com/maps/search/?api=1&query=Plaza%20Sai%20Baba%20-%20Juan%20Tanca%20Marengo&query_place_id=ChIJyRBfBHxtLZAR6J-NYEnUATE,75,free_scrape
