email,company,website,phone,city,state,country,google_maps_url,lead_score,email_source,send_tier,mx_ok
+m.d./@33.082335,"Brobst Facial Plastic Surgery and Aesthetics - Robert Brobst, M.D.",http://drbrobst.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(972) 618-2212,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Brobst%20Facial%20Plastic%20Surgery%20and%20Aesthetics%20-%20Robert%20Brobst%2C%20M.D.&query_place_id=ChIJpb_sK9c8TIYRiLAKdBvzCt4,55,free_scrape,reject,False
+tx+75093/@33.0290235,Optim8 Health and Wellness,https://optim8healthandwellness.com/,(972) 942-4039,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Optim8%20Health%20and%20Wellness&query_place_id=ChIJq6qO_-cXTIYRDfjw1Ds0o5o,55,free_scrape,reject,False
//cdn.jsdelivr.net/npm/bootstrap@5.0.2,Shahina Hoja Aesthetics (Medspa & Acne Clinic),http://www.shahinahoja.com/,(469) 823-0402,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Shahina%20Hoja%20Aesthetics%20(Medspa%20%26%20Acne%20Clinic)&query_place_id=ChIJmUyvIXtFwokRhPdD_zsK5ow,55,free_scrape,reject,False
//cdn.jsdelivr.net/npm/select2@4.1.0-rc.0,Atlas Cosmetic & Family Dentistry of Plano,https://www.atlasdentistryplano.com/,(469) 367-0266,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Atlas%20Cosmetic%20%26%20Family%20Dentistry%20of%20Plano&query_place_id=ChIJrTN68lwZTIYRp0mrgK2M7Qw,55,free_scrape,reject,False
//injectco.b-cdn.net/wp-content/cache/min/1/gsap@3.12.2,InjectCo MedSpa Plano,https://injectco.com/services/med-spa-plano-tx/?utm_source=google&utm_medium=organic&utm_campaign=gbp-plano,(972) 430-9297,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=InjectCo%20MedSpa%20Plano&query_place_id=ChIJr6p6KFQjTIYRu1N9Gw-6hO0,55,free_scrape,reject,False
//static.parastorage.com/unpkg/core-js-bundle@3.2.1,Park Mall Animal Clinic,http://www.pmacplano.com/,(972) 423-1804,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Park%20Mall%20Animal%20Clinic&query_place_id=ChIJjd6Z-wYZTIYRFi5SPCfGd9U,55,free_scrape,reject,False
//static.parastorage.com/unpkg/react-dom@18.3.1,All About Beauty Academy,http://www.allaboutbeautyacademy.com/,(469) 463-3090,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=All%20About%20Beauty%20Academy&query_place_id=ChIJaRs_kE8ZTIYRUfWPqVaICIE,55,free_scrape,reject,False
//unpkg.com/leaflet@1.9.4,Beauty Lab by Irina,https://beautylabbyirina.zoca.com/?utm_source=googlemaps&utm_medium=googlemaps&utm_campaign=googlemaps,(786) 604-1991,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Beauty%20Lab%20by%20Irina&query_place_id=ChIJI7_vTe0jTIYRpI_KHvqjAp8,55,free_scrape,reject,False
//www.google.com/maps/place/brilliance+skin+and+laser/@33.0534268,Brilliance Skin and Laser,https://www.brillianceskin.us/specials,(469) 450-0012,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Brilliance%20Skin%20and%20Laser&query_place_id=ChIJAYYeJzEjTIYRi62Ieo-SVE0,55,free_scrape,reject,False
//www.google.com/maps/place/plano+plastic+surgery/@33.0170284,Plano Plastic Spa,https://planoplasticspa.com/?utm_source=google&utm_medium=gbp&utm_campaign=gmb,(972) 599-2900,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Plano%20Plastic%20Spa&query_place_id=ChIJ238AKWgiTIYR3OGSqt5xWkg,55,free_scrape,reject,False
//www.google.com/maps/place/simplicity+laser/@38.9934648,Simplicity Laser,https://simplicitylaser.com/pages/laser-hair-removal-in-plano-tx,(800) 559-9138,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Simplicity%20Laser&query_place_id=ChIJlTbzvrQ9TIYRiwqB5CTp9mI,55,free_scrape,reject,False
//www.google.com/maps/place/skin+laundry+-+cherry+creek/@39.7306636,Skin Laundry - Plano,https://www.skinlaundry.com/locations/plano,(972) 737-9058,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Skin%20Laundry%20-%20Plano&query_place_id=ChIJpRvTbcA9TIYRrUEIxU6ONJA,55,free_scrape,reject,False
/bfb679c754744c58a7374ee6e25cfc13@sentry.wixpress.com,Sada Cosmetic NP Med Spa/Botox & Filler Plano,http://www.sadamedspa.com/,(214) 207-4649,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Sada%20Cosmetic%20NP%20Med%20Spa%2FBotox%20%26%20Filler%20Plano&query_place_id=ChIJNZ1E5DofTIYRZNx8BmRkQUw,55,free_scrape,reject,False
admin@cybermark.com,sugaringLA,https://www.sugaringla.com/plano-tx/,(972) 608-3668,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=sugaringLA&query_place_id=ChIJDb5orS49TIYRAKUs-xXIfl8,55,free_scrape,reject,False
britestarclinic@gmail.com,Britestar Primary Care and Weight Loss Clinic,https://britestarclinic.com/,(469) 910-8283,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Britestar%20Primary%20Care%20and%20Weight%20Loss%20Clinic&query_place_id=ChIJxUR0edsZTIYRCLmbWUSPfn8,55,free_scrape,reject,False
cedarhill@osant.net,Oral Surgery Associates of North Texas,https://www.northtexasoralsurgery.com/,(972) 985-7555,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Oral%20Surgery%20Associates%20of%20North%20Texas&query_place_id=ChIJuyVlI-8jTIYRD1752YS47OA,55,free_scrape,reject,False
completely@ease.she,RUMI Aesthetics,http://www.rumiaesthetics.com/,(214) 894-4533,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=RUMI%20Aesthetics&query_place_id=ChIJCTOJVhA9TIYRQDScEjNxP-Y,55,free_scrape,reject,False
essentials@injexed.shop,INJEXED MedBar,https://injexed.com/,(469) 649-7106,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=INJEXED%20MedBar&query_place_id=ChIJIacT9VI9TIYRlAXx0uxlQn8,55,free_scrape,reject,False
feel@ease.made,Noble Cosmetic Surgery,https://www.noblecosmeticsurgery.com/?utm_source=GBP&utm_medium=organic&utm_campaign=GBP_Plano&utm_id=GBP_Plano,(214) 227-0668,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Noble%20Cosmetic%20Surgery&query_place_id=ChIJqbacwhMYTIYRtfVTodI3cfE,55,free_scrape,reject,False
feel@home.every,Bader Facial Plastics,http://www.baderfacialplastics.com/?utm_source=gbp&utm_medium=organic&utm_campaign=localsearch,(214) 501-2021,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Bader%20Facial%20Plastics&query_place_id=ChIJueouR2YiTIYR4dkzZ74NmwA,55,free_scrape,reject,False
frontoffice@pedswb.com,Wellness at the Spa,https://wellnessatthespa.com/,(214) 489-7757,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Wellness%20at%20the%20Spa&query_place_id=ChIJTcCgo10hTIYR5Dt-0TCMZnI,55,free_scrape,reject,False
growl@them.it,Chase Oaks Animal Clinic,https://chaseoaksvet.com/,(972) 517-1970,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Chase%20Oaks%20Animal%20Clinic&query_place_id=ChIJZ_Xt8ccZTIYRwFXnoAlqCes,55,free_scrape,reject,False
john@email.com,Glow On Beauty,http://glow-on-beauty.com/,(469) 298-9446,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Glow%20On%20Beauty&query_place_id=ChIJCb98SLolTIYRK7r0udg2am4,55,free_scrape,reject,False
matt@pixelspread.com,West Plano Dry Eye & Aesthetics,http://westplanodryeye.com/,(469) 999-2747,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=West%20Plano%20Dry%20Eye%20%26%20Aesthetics&query_place_id=ChIJ-SrhibQlTIYRNUzeXpZXlww,55,free_scrape,reject,False
microneedling@skinlover.boost,Skin LovER Aesthetics,http://www.skinloverspa.com/,(469) 333-1401,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Skin%20LovER%20Aesthetics&query_place_id=ChIJswSLCakjTIYRz_4qGuLGqec,55,free_scrape,reject,False
only@savagex.com.select,Themedspabyrayray,https://linktr.ee/rayrayspa,(682) 521-6752,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Themedspabyrayray&query_place_id=ChIJn3mn9kQpTIYRHg6ibibhCgA,55,free_scrape,reject,False
preeajernigan@gmail.com,Vybe Aesthetics,http://www.vybeaesthetics.com/,(214) 997-8575,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Vybe%20Aesthetics&query_place_id=ChIJEwYK3KE_TIYRmT_U0ejLi1Q,55,free_scrape,reject,False
skin@mand.our,Medical Aesthetics of North Dallas,https://northdallasmedspa.com/?utm_source=GMBSocialClimb&utm_medium=MedicalAestheticsofNorthDallas,(214) 577-1777,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Medical%20Aesthetics%20of%20North%20Dallas&query_place_id=ChIJjbdK20wiTIYR0nqdZPir3lw,55,free_scrape,reject,False
skinspirit@5wpr.com,SkinSpirit Plano,https://www.skinspirit.com/locations/plano/,(469) 829-4200,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=SkinSpirit%20Plano&query_place_id=ChIJXd2s2mQjTIYRWdllNxfckVg,55,free_scrape,reject,False
typesetit@att.net,Intricate Health OB/GYN,https://www.intricatehealth.net/,(469) 640-6423,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Intricate%20Health%20OB%2FGYN&query_place_id=ChIJoZjy1Ms0OmQRMzgWzSfBrKc,55,free_scrape,reject,False
user@domain.com,"Pooyan Rohani, M.D.",http://rohanimd.com/,(972) 316-4555,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Pooyan%20Rohani%2C%20M.D.&query_place_id=ChIJczyVz1YjTIYRzlhXDoxz6KI,55,free_scrape,reject,False
x-transition.opacity@click.away,OVME,https://ovme.com/pages/legacy-west-plano-tx,(469) 915-6863,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=OVME&query_place_id=ChIJX0R_nmg9TIYROzWzfs-ym2s,55,free_scrape,reject,False
//unpkg.com/aos@2.3.1,Highland Park Aesthetics Plano,https://highlandpark.clinic/,(214) 774-9644,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Highland%20Park%20Aesthetics%20Plano&query_place_id=ChIJ1wP77PIjTIYR4ns-c_wcDfQ,50,free_scrape,reject,False
//www.google.com/maps/place/village+aesthetics/@33.0630758,Village Aesthetics,https://villageaesthetics.com/,(972) 433-5077,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Village%20Aesthetics&query_place_id=ChIJCfQf1_sjTIYRNkhbkQPbb1g,50,free_scrape,reject,False
360bodymedspa@gmail.com,360 Body Med Spa,https://rashaqudadeh.glossgenius.com/,(210) 849-6087,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=360%20Body%20Med%20Spa&query_place_id=ChIJzSQbGzQ9TIYR-hfrSL6-eaU,50,free_scrape,reject,False
beautybyangel@icloud.com,"Angelic Skin Aesthetics, LLC",http://www.skinangelic.com/,(214) 498-9817,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Angelic%20Skin%20Aesthetics%2C%20LLC&query_place_id=ChIJL6gF4qg9TIYRdlfzPDW9f1A,50,free_scrape,reject,False
example@domain.com,Skinique Med Spa & Wellness,http://www.skiniquemedspa.com/,(469) 209-4707,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Skinique%20Med%20Spa%20%26%20Wellness&query_place_id=ChIJA8j9mD4jTIYRXnZvU3trdpA,50,free_scrape,reject,False
hi@mystore.com,Nūr Skin Aesthetics,https://nr-skin-aesthetics.square.site/,(469) 361-7226,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=N%C5%ABr%20Skin%20Aesthetics&query_place_id=ChIJeTaYxM8jTIYRlNIoDuhK2Qc,50,free_scrape,reject,False
impallari@gmail.com,"Tiffany Ho, MD - Oculoplastic Surgeon",https://oatexas.com/,(214) 369-0555,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Tiffany%20Ho%2C%20MD%20-%20Oculoplastic%20Surgeon&query_place_id=ChIJn_QOVvAjTIYRht9TKon485A,50,free_scrape,reject,False
salonlumeofficial@gmail.com,Seoul Glow Studio,http://salonlume.glossgenius.com/,(469) 209-5881,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Seoul%20Glow%20Studio&query_place_id=ChIJU5NXj6AjTIYREolzLZud0u4,50,free_scrape,reject,False
+tx+75025/@33.1132409,Dr. Nuzhat Ahmed,http://www.cpcfrisco.com/,(214) 383-0001,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Dr.%20Nuzhat%20Ahmed&query_place_id=ChIJT_xWfIA9TIYR7_GfMC6RJoo,40,free_scrape,reject,False
+tx+75093/@33.0242764,Spectra Salon Suites,https://www.spectrasalonsuites.com/locations/plano,(972) 835-1527,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Spectra%20Salon%20Suites&query_place_id=ChIJA52lgf4jTIYR4jmRaqgmKOA,40,free_scrape,reject,False
sskinlaser@yahoo.com,Silk Skin Laser Center,http://www.silkskinlasercenter.net/,(214) 675-8561,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Silk%20Skin%20Laser%20Center&query_place_id=ChIJiZ2vMlUiTIYRo4mBblc7pEc,40,free_scrape,reject,False
