email,company,website,phone,city,state,country,google_maps_url,lead_score,email_source,send_tier,mx_ok
aokiheadspa@aokispa.com,Aoki Head Spa & Skin,https://aokispa.com/locations-plano/,(469) 409-6076,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Aoki%20Head%20Spa%20%26%20Skin&query_place_id=ChIJp3rLoeYlTIYRIZ6iQhphz_c,55,free_scrape,A_personal_or_named,True
coordinator@herzogvitalitycenter.com,Herzog Vitality Center,https://herzogvitalitycenter.com/,(972) 833-6200,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Herzog%20Vitality%20Center&query_place_id=ChIJweTBmp4kTIYRErmF-7FregY,55,free_scrape,A_personal_or_named,True
erika@upliftmedspa.com,Uplift Medspa Health & Wellness,http://upliftmedspa.com/,(972) 665-8664,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Uplift%20Medspa%20Health%20%26%20Wellness&query_place_id=ChIJOaosxx0hTIYRwgghz8vKkVQ,55,free_scrape,A_personal_or_named,True
frontdesktx005@restore.com,Restore Hyper Wellness,https://www.restore.com/locations/tx-plano-tx005?utm_source=gmb&utm_medium=Yext&y_source=1_MzE2Mjk5MjctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(469) 969-2878,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Restore%20Hyper%20Wellness&query_place_id=ChIJrw3b2KsjTIYRjw4pGilRSB0,55,free_scrape,A_personal_or_named,True
staff@advancedvetcare.com,Advanced Veterinary Care of Plano,https://www.advancedvetcare.com/,(972) 618-0301,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Advanced%20Veterinary%20Care%20of%20Plano&query_place_id=ChIJE6Ot36AiTIYR4fEm86vHjKE,55,free_scrape,A_personal_or_named,True
westplano@beemlightsauna.com,beem® Light Sauna West Plano,https://beemlightsauna.com/west-plano/,(214) 789-5425,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=beem%C2%AE%20Light%20Sauna%20West%20Plano&query_place_id=ChIJJV6F-GAjTIYREzW0hsBD9S4,55,free_scrape,A_personal_or_named,True
casalinda@viomedspa.com,VIO Med Spa Plano,https://www.viomedspa.com/locations/plano,(945) 284-0815,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=VIO%20Med%20Spa%20Plano&query_place_id=ChIJx48nyKkjTIYR75m7SPdfjus,50,free_scrape,A_personal_or_named,True
contactus@celinemedicalspa.com,Celine Medical Spa,https://www.celinemedicalspa.com/,(972) 750-6100,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Celine%20Medical%20Spa&query_place_id=ChIJKwWHwPgjTIYRtx5P4us_Ix0,50,free_scrape,A_personal_or_named,True
franchise@glo30.com,GLO30 Plano,https://glo30.com/dallas-plano/,(214) 997-6983,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=GLO30%20Plano&query_place_id=ChIJiWVyyeMjTIYR4Da6uLkPDNs,50,free_scrape,A_personal_or_named,True
contacto@ngbeauties.com,NG Beauty Studio Inc.,http://www.ngbeauties.com/,(945) 201-0046,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=NG%20Beauty%20Studio%20Inc.&query_place_id=ChIJqykMt48fTIYRvF4btcdxPn4,45,free_scrape,A_personal_or_named,True
customerservice@redmountainweightloss.com,Red Mountain Weight Loss,https://www.redmountainweightloss.com/areas-served/plano-tx/,(214) 960-5245,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Red%20Mountain%20Weight%20Loss&query_place_id=ChIJWR7j3IAjTIYRQtdtuztgyt8,45,free_scrape,A_personal_or_named,True
questions@skinmdandbeyond.com,Skin M.D. and Beyond,https://www.skinmdandbeyond.com/,(972) 608-0808,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Skin%20M.D.%20and%20Beyond&query_place_id=ChIJ2QFlCCYjTIYRALXrAcSmltU,40,free_scrape,A_personal_or_named,True
