email,company,website,phone,city,state,country,google_maps_url,lead_score,email_source,send_tier,mx_ok
contact@sterlingsalonsuites.com,Sterling Salon Suites,https://sterlingsalonsuites.com/,(214) 308-0177,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Sterling%20Salon%20Suites&query_place_id=ChIJuXLimmAjTIYRXOGMTOjSydg,55,free_scrape,B_safe_role,True
contact@umedspa.com,U Med Spa,https://umedspa.com/,(972) 636-6299,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=U%20Med%20Spa&query_place_id=ChIJz-wOVbE8TIYROmo0LS8t3Ms,55,free_scrape,B_safe_role,True
hello@skinpharm.com,Skin Pharm,https://skinpharm.com/pages/skincare-plano,(214) 548-3575,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Skin%20Pharm&query_place_id=ChIJcZWVxaY9TIYRKSMDnriJuiI,55,free_scrape,B_safe_role,True
info@novadermllc.com,NovaDerm Med Spa,https://novadermllc.com/,(972) 654-2414,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=NovaDerm%20Med%20Spa&query_place_id=ChIJ6UzFZt45TIYRe-QGKHriGqA,55,free_scrape,B_safe_role,True
info@originalskindfw.com,Original Skin,https://originalskindfw.com/,(469) 809-2699,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Original%20Skin&query_place_id=ChIJ4SUAnCEjTIYRkia96qbIyvE,55,free_scrape,B_safe_role,True
info@sophiarahmanmd.com,"Sophia Rahman, MD- Primary Care, Weight Management & Aesthetics",https://www.sophiarahmanmd.com/,(972) 782-2811,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Sophia%20Rahman%2C%20MD-%20Primary%20Care%2C%20Weight%20Management%20%26%20Aesthetics&query_place_id=ChIJ03RUVAwnTIYRgGLZqweKu1A,55,free_scrape,B_safe_role,True
info@starwoodmedspa.com,Starwood Med Spa,https://starwoodmedspa.com/starwood-plano-med-spa/,(214) 705-0400,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Starwood%20Med%20Spa&query_place_id=ChIJWx6gFj09TIYR9tExGmtztDI,55,free_scrape,B_safe_role,True
info@stoneiwc.com,Stone International Wellness Center,https://www.stoneiwc.com/,(972) 473-2205,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Stone%20International%20Wellness%20Center&query_place_id=ChIJtZdWkHgjTIYR1-jXe7wCbjM,55,free_scrape,B_safe_role,True
info@thespabutler.com,The Spa Butler,http://www.thespabutler.com/,(214) 785-6719,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=The%20Spa%20Butler&query_place_id=ChIJPYbbpEGoKKgRki5UJYwUMqs,55,free_scrape,B_safe_role,True
info@vitalizemedicalspa.com,Vitalize Medical Spa,http://www.vitalizemedicalspa.com/,(972) 473-4999,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Vitalize%20Medical%20Spa&query_place_id=ChIJV6fj63wjTIYR--m2GJOnfrw,55,free_scrape,B_safe_role,True
info@weimeimedspa.com,WEIMEI MED SPA & ANTI-AGING CENTER,https://weimeimedspa.com/,(469) 609-9800,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=WEIMEI%20MED%20SPA%20%26%20ANTI-AGING%20CENTER&query_place_id=ChIJOYqb4tY9TIYRBtyDAucBHsg,55,free_scrape,B_safe_role,True
contact@mysolere.com,Solēre Aesthetics,https://mysolere.com/,(281) 669-0669,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Sol%C4%93re%20Aesthetics&query_place_id=ChIJWVMReyU9TIYRZT1DxSGrcss,50,free_scrape,B_safe_role,True
info@diamondshineskinlounge.com,Diamond Shine Skin Lounge,https://www.diamondshineskinlounge.com/,(469) 363-6600,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Diamond%20Shine%20Skin%20Lounge&query_place_id=ChIJlRu_-m0jTIYR7SnzaUkjuxE,50,free_scrape,B_safe_role,True
info@stewartcenterdallas.com,Stewart Center for Plastic Surgery and Hand,https://stewartcenterdallas.com/,(972) 761-5464,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Stewart%20Center%20for%20Plastic%20Surgery%20and%20Hand&query_place_id=ChIJmVgwEk4lTIYRmQcRZVo7t_0,50,free_scrape,B_safe_role,True
office@advsurgicalarts.com,"Doohi Lee, MD",https://www.advsurgicalarts.com/,(972) 612-1900,Plano,Texas,US,https://www.google.com/maps/search/?api=1&query=Doohi%20Lee%2C%20MD&query_place_id=ChIJ70nr_QMjTIYRZbCRboov6b4,50,free_scrape,B_safe_role,True
