email;company;website;phone;city;state;country;google_maps_url;lead_score;email_source;email_source_url;confidence;person_name;person_title;pages_tried;pages_ok
info@loveyoulaser.com;"Aesthetic Studio - ""Love You Laser"" Spa";https://love-you-laser.com/;(212) 580-1720;New York;New York;US;https://www.google.com/maps/search/?api=1&query=Aesthetic%20Studio%20-%20%22Love%20You%20Laser%22%20Spa&query_place_id=ChIJkYhm3mNZwokREirTE0c5IRc;0;mailto;https://love-you-laser.com/;25;;;6;1
alaestheticstudio@gmail.com;"Aesthetic Studio - ""Love You Laser"" Spa";https://love-you-laser.com/;(212) 580-1720;New York;New York;US;https://www.google.com/maps/search/?api=1&query=Aesthetic%20Studio%20-%20%22Love%20You%20Laser%22%20Spa&query_place_id=ChIJkYhm3mNZwokREirTE0c5IRc;0;plain_text;https://love-you-laser.com/;15;;;6;1
amiraspaandsalon@gmail.com;Amira's Cryo Spa And Salon;https://amirascryospahouston.zoca.com/;(832) 973-1156;Houston;Texas;US;https://www.google.com/maps/search/?api=1&query=Amira's%20Cryo%20Spa%20And%20Salon&query_place_id=ChIJdT__bvTFQIYR9wBS8U8MMyU;0;mailto;https://amirascryospahouston.zoca.com/;40;;;6;1
info@antiageinstitute.com;Antiage Institute;https://antiageinstitute.com/;(832) 430-7768;Houston;Texas;US;https://www.google.com/maps/search/?api=1&query=Antiage%20Institute&query_place_id=ChIJJSZRF_rAQIYRPgG8GZnKnh8;0;mailto;https://antiageinstitute.com/;25;;;6;3
info@aurum.health;Aurum Health;https://aurumhealth.com/;(214) 865-7800;Dallas;Texas;US;https://www.google.com/maps/search/?api=1&query=Aurum%20Health&query_place_id=ChIJD8LET6GZToYRSleYd2kkdPw;0;plain_text;https://aurumhealth.com/;0;;;6;6
info@avivamedicalspa.com;Aviva Medical Spa;https://avivamedicalspa.com/;(786) 812-8622;Miami;Florida;US;https://www.google.com/maps/search/?api=1&query=Aviva%20Medical%20Spa&query_place_id=ChIJPzO231ax2YgRaoJeTYze_Xs;0;mailto;https://avivamedicalspa.com/;25;;;6;3
pablo@avanmed.com;Aviva Medical Spa;https://avivamedicalspa.com/;(786) 812-8622;Miami;Florida;US;https://www.google.com/maps/search/?api=1&query=Aviva%20Medical%20Spa&query_place_id=ChIJPzO231ax2YgRaoJeTYze_Xs;0;html_raw;https://avivamedicalspa.com/contact;10;;;6;3
info@bcrnaesthetics.com;BCRN Aesthetics MedSpa;https://bcrnaesthetics.com/;(346) 738-9897;Houston;Texas;US;https://www.google.com/maps/search/?api=1&query=BCRN%20Aesthetics%20MedSpa&query_place_id=ChIJeXkfMInAQIYRs7tW0wKaBUg;0;cf_decode;https://bcrnaesthetics.com/;20;;;6;3
customerservice@charettecosmetics.com;Charette Cosmetics Medical Spa - Miami Beach;https://charettecosmetics.com/;(404) 430-4378 ext. 3;Miami Beach;Florida;US;https://www.google.com/maps/search/?api=1&query=Charette%20Cosmetics%20Medical%20Spa%20-%20Miami%20Beach&query_place_id=ChIJ-VkNhhuz2YgR3tgNIZtgN94;0;mailto;https://charettecosmetics.com/;40;;;6;3
inquiry@chelseaskincenter.com;Chelsea Skin & Laser;https://chelseaskincenter.com/;(212) 675-0549;New York;New York;US;https://www.google.com/maps/search/?api=1&query=Chelsea%20Skin%20%26%20Laser&query_place_id=ChIJmR3TdLxZwokRBrnQKrZGm00;0;ld_json;https://chelseaskincenter.com/;30;;;6;3
contact@clearlaserskin.com;Clear Laser City Clinic;https://clearlaserskin.com/;(212) 697-1802;New York;New York;US;https://www.google.com/maps/search/?api=1&query=Clear%20Laser%20City%20Clinic&query_place_id=ChIJlfgEWYBZwokRGSzGbsmUSGI;0;plain_text;https://clearlaserskin.com/;0;;;6;3
contact@clearlasercity.com;Clear Laser City Clinic;https://clearlaserskin.com/;(212) 697-1802;New York;New York;US;https://www.google.com/maps/search/?api=1&query=Clear%20Laser%20City%20Clinic&query_place_id=ChIJlfgEWYBZwokRGSzGbsmUSGI;0;plain_text;https://clearlaserskin.com/;0;;;6;3
contact@clearlaser-queens.com;Clear Laser City Clinic;https://clearlaserskin.com/;(212) 697-1802;New York;New York;US;https://www.google.com/maps/search/?api=1&query=Clear%20Laser%20City%20Clinic&query_place_id=ChIJlfgEWYBZwokRGSzGbsmUSGI;0;plain_text;https://clearlaserskin.com/;0;;;6;3
contact@clearlaserjc.com;Clear Laser City Clinic;https://clearlaserskin.com/;(212) 697-1802;New York;New York;US;https://www.google.com/maps/search/?api=1&query=Clear%20Laser%20City%20Clinic&query_place_id=ChIJlfgEWYBZwokRGSzGbsmUSGI;0;plain_text;https://clearlaserskin.com/;0;;;6;3
contact@clearlaseredison.com;Clear Laser City Clinic;https://clearlaserskin.com/;(212) 697-1802;New York;New York;US;https://www.google.com/maps/search/?api=1&query=Clear%20Laser%20City%20Clinic&query_place_id=ChIJlfgEWYBZwokRGSzGbsmUSGI;0;plain_text;https://clearlaserskin.com/;0;;;6;3
contact@champs-elysees-clinic.com;Clinique des Champs Élysées;https://newyork.crpce.com/;(212) 812-1107;New York;New York;US;https://www.google.com/maps/search/?api=1&query=Clinique%20des%20Champs%20%C3%89lys%C3%A9es&query_place_id=ChIJbVCkLzVZwokRhBjuf9kWdp4;0;plain_text;https://newyork.crpce.com/;0;;;6;3
atlanta@cultaesthetics.com;CULT Aesthetics;https://cultaesthetics.com/;(469) 720-1086;Dallas;Texas;US;https://www.google.com/maps/search/?api=1&query=CULT%20Aesthetics&query_place_id=ChIJFX32ikGZToYRsMJi8wiyMQo;0;cf_decode;https://cultaesthetics.com/;35;;;6;3
dallas@cultaesthetics.com;CULT Aesthetics;https://cultaesthetics.com/;(469) 720-1086;Dallas;Texas;US;https://www.google.com/maps/search/?api=1&query=CULT%20Aesthetics&query_place_id=ChIJFX32ikGZToYRsMJi8wiyMQo;0;cf_decode;https://cultaesthetics.com/;35;;;6;3
info@deluxemedspabeauty.com;Deluxe Med Spa Beauty;https://deluxemedspabeauty.com/;(786) 901-0611;Miami;Florida;US;https://www.google.com/maps/search/?api=1&query=Deluxe%20Med%20Spa%20Beauty&query_place_id=ChIJ9QShWb232YgRErcFd8RYjwc;0;cf_decode;https://deluxemedspabeauty.com/;20;;;6;3
miami@dermaclinicenter.com;Derma Lipo New York;https://dermaclinicenter.com/;(646) 707-0135;New York;New York;US;https://www.google.com/maps/search/?api=1&query=Derma%20Lipo%20New%20York&query_place_id=ChIJz99rLiJZwokRMioar0qzTMM;0;plain_text;https://dermaclinicenter.com/;15;;;6;6
houston@dermaclinicenter.com;Derma Lipo New York;https://dermaclinicenter.com/;(646) 707-0135;New York;New York;US;https://www.google.com/maps/search/?api=1&query=Derma%20Lipo%20New%20York&query_place_id=ChIJz99rLiJZwokRMioar0qzTMM;0;plain_text;https://dermaclinicenter.com/;15;;;6;6
vegas@dermaclinicenter.com;Derma Lipo New York;https://dermaclinicenter.com/;(646) 707-0135;New York;New York;US;https://www.google.com/maps/search/?api=1&query=Derma%20Lipo%20New%20York&query_place_id=ChIJz99rLiJZwokRMioar0qzTMM;0;plain_text;https://dermaclinicenter.com/;15;;;6;6
phoenix@dermaclinicusa.com;Derma Lipo New York;https://dermaclinicenter.com/;(646) 707-0135;New York;New York;US;https://www.google.com/maps/search/?api=1&query=Derma%20Lipo%20New%20York&query_place_id=ChIJz99rLiJZwokRMioar0qzTMM;0;plain_text;https://dermaclinicenter.com/;15;;;6;6
sales@dermaclinicenter.com;Derma Lipo New York;https://dermaclinicenter.com/;(646) 707-0135;New York;New York;US;https://www.google.com/maps/search/?api=1&query=Derma%20Lipo%20New%20York&query_place_id=ChIJz99rLiJZwokRMioar0qzTMM;0;plain_text;https://dermaclinicenter.com/;0;;;6;6
support@dermaclinicenter.com;Derma Lipo New York;https://dermaclinicenter.com/;(646) 707-0135;New York;New York;US;https://www.google.com/maps/search/?api=1&query=Derma%20Lipo%20New%20York&query_place_id=ChIJz99rLiJZwokRMioar0qzTMM;0;plain_text;https://dermaclinicenter.com/;0;;;6;6
info@drlaserla.com;dr LASER;https://drlaserla.com/;(212) 408-3229;New York;New York;US;https://www.google.com/maps/search/?api=1&query=dr%20LASER&query_place_id=ChIJP-PbqJ1ZwokROt2Q16kRWA4;0;mailto;https://drlaserla.com/;25;;;6;3
infonyc@drlaserla.com;dr LASER;https://drlaserla.com/;(212) 408-3229;New York;New York;US;https://www.google.com/maps/search/?api=1&query=dr%20LASER&query_place_id=ChIJP-PbqJ1ZwokROt2Q16kRWA4;0;mailto;https://drlaserla.com/;40;;;6;3
promotions@drlaserla.com;dr LASER;https://drlaserla.com/;(212) 408-3229;New York;New York;US;https://www.google.com/maps/search/?api=1&query=dr%20LASER&query_place_id=ChIJP-PbqJ1ZwokROt2Q16kRWA4;0;mailto;https://drlaserla.com/;40;;;6;3
services@erasespa.com;Erase Spa;https://erasespa.com/;(212) 379-6558;New York;New York;US;https://www.google.com/maps/search/?api=1&query=Erase%20Spa&query_place_id=ChIJyUkMuq9ZwokRuZcgHR75jPk;0;ld_json;https://erasespa.com/;30;;;6;3
info@glowhouston.com;Glow Medical Aesthetics;https://glowhouston.com/;(713) 338-9577;Houston;Texas;US;https://www.google.com/maps/search/?api=1&query=Glow%20Medical%20Aesthetics&query_place_id=ChIJrerdWEnAQIYRZs5i7Hk26yw;0;mailto;https://glowhouston.com/;25;;;6;3
info@hairbyebye.com;Hair Bye Bye Electrolysis, Permanent Hair Removal in NYC;https://hairbyebye.com/;(718) 878-4730;New York;New York;US;https://www.google.com/maps/search/?api=1&query=Hair%20Bye%20Bye%20Electrolysis%2C%20Permanent%20Hair%20Removal%20in%20NYC&query_place_id=ChIJydkSkL9o1gYRCGnn2Xfmb5Y;0;mailto;https://hairbyebye.com/;25;;;6;1
help@htxmdspa.com;Houston MedSpa + Wellness;https://htxmdspa.com/;(832) 835-2545;Houston;Texas;US;https://www.google.com/maps/search/?api=1&query=Houston%20MedSpa%20%2B%20Wellness&query_place_id=ChIJtWzPOPbAQIYRHv6oUAjiD4I;0;mailto;https://htxmdspa.com/;40;;;6;3
info@behuemn.com;Huemn - Heights MKT;https://behuemn.com/;(832) 979-5618;Houston;Texas;US;https://www.google.com/maps/search/?api=1&query=Huemn%20-%20Heights%20MKT&query_place_id=ChIJyQaw9BXHQIYR_Rw8UTLf9pY;0;ld_json;https://behuemn.com/;15;;;6;3
marketing@infinitylaserspa.com;Infinity Laser Spa;https://infinitylaserspa.com/;(212) 945-8298;New York;New York;US;https://www.google.com/maps/search/?api=1&query=Infinity%20Laser%20Spa&query_place_id=ChIJP3JVNq9ZwokRqXuwunNmwhA;0;ld_json;https://infinitylaserspa.com/;30;;;6;1
info@infinitylaserspa.com;Infinity Laser Spa;https://infinitylaserspa.com/;(212) 945-8298;New York;New York;US;https://www.google.com/maps/search/?api=1&query=Infinity%20Laser%20Spa&query_place_id=ChIJP3JVNq9ZwokRqXuwunNmwhA;0;plain_text;https://infinitylaserspa.com/;0;;;6;1
info@laserbarandspa.com;Laser Bar & Spa;https://laserbarandspa.com/;(646) 386-7562;New York;New York;US;https://www.google.com/maps/search/?api=1&query=Laser%20Bar%20%26%20Spa&query_place_id=ChIJqYQbJKlZwokRhUdBI348ku4;0;mailto;https://laserbarandspa.com/;25;;;6;3
info@lemmonavenuedallas.com;Lemmon Avenue Plastic Surgery and Laser Center;https://lemmonavenueplasticsurgery.com/;(214) 702-0707;Dallas;Texas;US;https://www.google.com/maps/search/?api=1&query=Lemmon%20Avenue%20Plastic%20Surgery%20and%20Laser%20Center&query_place_id=ChIJN_OiSCuZToYRc0N9LjtYaP4;0;ld_json;http://lemmonavenueplasticsurgery.com/;15;;;6;3
info@lighttouchnyc.com;Light Touch Laser Spa;https://lighttouchnyc.com/;(646) 926-7202;New York;New York;US;https://www.google.com/maps/search/?api=1&query=Light%20Touch%20Laser%20Spa&query_place_id=ChIJW8NsAaNZwokR8xKCA1PvWBo;0;cf_decode;https://lighttouchnyc.com/;20;;;6;3
