Company_Name,Decision_Maker_Name,Title,Email,Phone,Address,Zip,City,State,County,Website,Branch_Location_Count,Branch_Count_Method,Branch_Count_Note,Source_URL,Maps_Category
AT&T Headquarters,,,,(210) 821-4105,"Whitacre Tower, 208 S Akard St",,Dallas,Texas,Dallas,https://investors.att.com/,1,maps_listings_same_domain_in_this_export,"Count from this Apify export only. For true TX-wide branch totals, run a second Maps search per brand.",https://www.google.com/maps/search/?api=1&query=AT%26T%20Headquarters&query_place_id=ChIJbZ9x4-yZToYRRXhjVWEufAw,Corporate office
Mary Kay,,,,(800) 627-9529,16251 Dallas Pkwy,,Addison,Texas,Dallas,http://www.marykay.com/,1,maps_listings_same_domain_in_this_export,"Count from this Apify export only. For true TX-wide branch totals, run a second Maps search per brand.",https://www.google.com/maps/search/?api=1&query=Mary%20Kay%20Global%20Headquarters&query_place_id=ChIJ9fKPde0wzYcR2v9m0pfzg-U,Corporate office
TGI Friday's Support Center Headquarters,,,,(972) 662-5400,19111 Dallas Pkwy #165,,Dallas,Texas,Dallas,https://www.tgifridays.com/,1,maps_listings_same_domain_in_this_export,"Count from this Apify export only. For true TX-wide branch totals, run a second Maps search per brand.",https://www.google.com/maps/search/?api=1&query=TGI%20Friday's%20Support%20Center%20Headquarters&query_place_id=ChIJAfb41qcjTIYRQpOs7Uqbxks,Corporate campus
Holding Hands Hospice,,,,(214) 221-0070,8111 Lyndon B Johnson Fwy #1000,,Dallas,Texas,Dallas,https://www.holdinghandshospice.org/,1,maps_listings_same_domain_in_this_export,"Count from this Apify export only. For true TX-wide branch totals, run a second Maps search per brand.",https://www.google.com/maps/search/?api=1&query=Holding%20Hands%20Hospice&query_place_id=ChIJOddkDJKgToYRj8tVw0smV7s,Hospice
Dal-Tile Corporation,,,,(214) 398-1411,7834 C F Hawn Fwy,,Dallas,Texas,Dallas,https://www.daltile.com/,1,maps_listings_same_domain_in_this_export,"Count from this Apify export only. For true TX-wide branch totals, run a second Maps search per brand.",https://www.google.com/maps/search/?api=1&query=Dal-Tile%20Corporation%20Corporate%20Headquarters&query_place_id=ChIJUYGxtMu8ToYRxYZSYyZFFTw,Tile manufacturer
la Madeleine,,,,(214) 696-6962,12201 Merit Dr #900,,Dallas,Texas,Dallas,http://www.lamadeleine.com/,1,maps_listings_same_domain_in_this_export,"Count from this Apify export only. For true TX-wide branch totals, run a second Maps search per brand.",https://www.google.com/maps/search/?api=1&query=la%20Madeleine%20Corporate%20Headquarters&query_place_id=ChIJOyN0oGsgTIYRP7dIs8DCgeg,Restaurant
Freeman,,,,(214) 623-1300,3801 Adler Dr #150,,Dallas,Texas,Dallas,https://www.freeman.com/contact/locations/united-states/dallas,1,maps_listings_same_domain_in_this_export,"Count from this Apify export only. For true TX-wide branch totals, run a second Maps search per brand.",https://www.google.com/maps/search/?api=1&query=Freeman&query_place_id=ChIJgWILooycToYRO-pfWLTV3Dk,Corporate office
Dickey's Barbecue Pit,,,,,4514 Cole Ave Ste 1015,,Dallas,Texas,Dallas,https://www.dickeys.com/?utm_source=google&utm_campaign=gmb&utm_medium=organic&utm_content=button-website,1,maps_listings_same_domain_in_this_export,"Count from this Apify export only. For true TX-wide branch totals, run a second Maps search per brand.",https://www.google.com/maps/search/?api=1&query=Dickey's%20Barbecue%20Pit%20-%20Corporate%20Office&query_place_id=ChIJD81uKiGfToYRIxw-aR6dWE8,Corporate office
Atlantic Packaging,,,,(469) 621-4440,3890 La Reunion Pkwy,,Dallas,Texas,Dallas,https://www.atlanticpkg.com/,1,maps_listings_same_domain_in_this_export,"Count from this Apify export only. For true TX-wide branch totals, run a second Maps search per brand.",https://www.google.com/maps/search/?api=1&query=Atlantic%20Packaging&query_place_id=ChIJ8YD3HA6bToYRDy8otv8jW4Q,Corporate office
Topgolf,,,,(866) 867-4653,8750 N Central Expy #1200,,Dallas,Texas,Dallas,http://topgolf.com/us/,1,maps_listings_same_domain_in_this_export,"Count from this Apify export only. For true TX-wide branch totals, run a second Maps search per brand.",https://www.google.com/maps/search/?api=1&query=Topgolf%20Corporate%20Office&query_place_id=ChIJbyWhhCqcaYgRZpq98pBXFj4,Corporate office
Greyhound,,,,(800) 231-2222,"Patriot Tower, 350 North St. Paul Street #1300",,Dallas,Texas,Dallas,https://www.greyhound.com/en/help-and-info/contact-us,1,maps_listings_same_domain_in_this_export,"Count from this Apify export only. For true TX-wide branch totals, run a second Maps search per brand.",https://www.google.com/maps/search/?api=1&query=Greyhound%20Corporate%20Office&query_place_id=ChIJF_FNkCGZToYRjnkdC33eYEg,Bus company
Dallas Mavericks,,,,(214) 747-6287,1333 N Stemmons Fwy #105,,Dallas,Texas,Dallas,http://mavs.com/?utm_source=Google&utm_medium=Places&utm_campaign=Places_pavilion,1,maps_listings_same_domain_in_this_export,"Count from this Apify export only. For true TX-wide branch totals, run a second Maps search per brand.",https://www.google.com/maps/search/?api=1&query=Dallas%20Mavericks&query_place_id=ChIJIXKkC-iYToYRzqns8IcvjSc,Corporate office
Corporate Office - Texas de Brazil,,,,(214) 615-2184,2952 N Stemmons Fwy,,Dallas,Texas,Dallas,https://texasdebrazil.com/,1,maps_listings_same_domain_in_this_export,"Count from this Apify export only. For true TX-wide branch totals, run a second Maps search per brand.",https://www.google.com/maps/search/?api=1&query=Corporate%20Office%20-%20Texas%20de%20Brazil&query_place_id=ChIJhQb8FTWZToYRNEJPd__aODo,Corporate office
Hilton Corporate Office - Addison,,,,(972) 383-1400,15305 Dallas North Tollway,,Addison,Texas,Dallas,http://www.hilton.com/,1,maps_listings_same_domain_in_this_export,"Count from this Apify export only. For true TX-wide branch totals, run a second Maps search per brand.",https://www.google.com/maps/search/?api=1&query=Hilton%20Corporate%20Office%20-%20Addison&query_place_id=ChIJU_Tp9zghTIYRJ3c8AYZDLkU,Corporate office
Altitude Trampoline Park,,,,(817) 207-7220,12222 Merit Dr # 1300,,Dallas,Texas,Dallas,http://www.altitudetrampolinepark.com/,1,maps_listings_same_domain_in_this_export,"Count from this Apify export only. For true TX-wide branch totals, run a second Maps search per brand.",https://www.google.com/maps/search/?api=1&query=Altitude%20Trampoline%20Park%20-%20Corporate%20Office&query_place_id=ChIJr1urNIDXTYYR6CY0QJKxKG8,Corporate office
Saint Bernard Headquarters,,,,(800) 461-4450,8700 Ambassador Row,,Dallas,Texas,Dallas,http://www.saintbernard.com/,1,maps_listings_same_domain_in_this_export,"Count from this Apify export only. For true TX-wide branch totals, run a second Maps search per brand.",https://www.google.com/maps/search/?api=1&query=Saint%20Bernard%20Headquarters&query_place_id=ChIJ76yFi3GcToYR8YlC3FeXWZY,Corporate office
Tenet Healthcare Corporation,,,,(469) 893-2000,14201 Dallas Pkwy,,Dallas,Texas,Dallas,https://www.tenethealth.com/?utm_campaign=gmb_listings_mgmt&utm_source=gmb-tenethealth&utm_medium=google-local,1,maps_listings_same_domain_in_this_export,"Count from this Apify export only. For true TX-wide branch totals, run a second Maps search per brand.",https://www.google.com/maps/search/?api=1&query=Tenet%20Healthcare%20Corporation&query_place_id=ChIJyyClKiOZToYRpjJOg2l_w_Q,Corporate office
SWK Holdings Corporation,,,,(972) 687-7250,5956 Sherry Ln suite 650,,Dallas,Texas,Dallas,http://www.swkhold.com/,1,maps_listings_same_domain_in_this_export,"Count from this Apify export only. For true TX-wide branch totals, run a second Maps search per brand.",https://www.google.com/maps/search/?api=1&query=SWK%20Holdings%20Corporation&query_place_id=ChIJkSZDAkchTIYRA4n4V8gT1s8,Corporate office
Valassis,,,,(214) 353-6200,600 N Cockrell Hill Rd,,Dallas,Texas,Dallas,https://www.commercialcafe.com/commercial-property/us/tx/dallas/600-north-cockrell-hill-road/,1,maps_listings_same_domain_in_this_export,"Count from this Apify export only. For true TX-wide branch totals, run a second Maps search per brand.",https://www.google.com/maps/search/?api=1&query=Valassis&query_place_id=ChIJWyiXF-OaToYR9k_ybP7KKIQ,Corporate office
PEPSI Technology Process Center,,,,(800) 352-4477,3420 Duncanville Rd,,Dallas,Texas,Dallas,http://www.fritolay.com/,1,maps_listings_same_domain_in_this_export,"Count from this Apify export only. For true TX-wide branch totals, run a second Maps search per brand.",https://www.google.com/maps/search/?api=1&query=PEPSI%20Technology%20Process%20Center&query_place_id=ChIJhzf-uw6QToYRFy4EnfwXah0,Corporate office
Goodwill Industries of Dallas,,,,(214) 638-2800,3020 N Westmoreland Rd suite a,,Dallas,Texas,Dallas,https://www.goodwilldallas.org/,1,maps_listings_same_domain_in_this_export,"Count from this Apify export only. For true TX-wide branch totals, run a second Maps search per brand.",https://www.google.com/maps/search/?api=1&query=Goodwill%20Industries%20of%20Dallas&query_place_id=ChIJmbcYy8WbToYRw6H5hhKCmek,Thrift store
United States Post Office Network Distribution Center,,,,(800) 222-1811,2400 Dallas Fort Worth Turnpike,,Dallas,Texas,Dallas,http://www.usps.com/,1,maps_listings_same_domain_in_this_export,"Count from this Apify export only. For true TX-wide branch totals, run a second Maps search per brand.",https://www.google.com/maps/search/?api=1&query=United%20States%20Post%20Office%20Network%20Distribution%20Center&query_place_id=ChIJm-bcTbebToYR7naRLybj-Xk,Federal government office
US Veterans Affairs Department,,,,(214) 742-8387,"Freedom Garage, 4500 S Lancaster Rd",,Dallas,Texas,Dallas,http://www.va.gov/,1,maps_listings_same_domain_in_this_export,"Count from this Apify export only. For true TX-wide branch totals, run a second Maps search per brand.",https://www.google.com/maps/search/?api=1&query=US%20Veterans%20Affairs%20Department&query_place_id=ChIJoV7orp-XToYRdwYcklUmCQU,Veterans affairs department
L'oreal Warehouse,,,,(212) 818-1500,3434 Altamoore Dr,,Dallas,Texas,Dallas,https://www.loreal.com/en/usa/,1,maps_listings_same_domain_in_this_export,"Count from this Apify export only. For true TX-wide branch totals, run a second Maps search per brand.",https://www.google.com/maps/search/?api=1&query=L'oreal%20Warehouse&query_place_id=ChIJ__kfAHKWToYRvCKSE4hBtsk,Distribution service
Social Security Administration,,,,(866) 572-2492,10824 N Central Expy,,Dallas,Texas,Dallas,https://www.ssa.gov/,2,maps_listings_same_domain_in_this_export,"Count from this Apify export only. For true TX-wide branch totals, run a second Maps search per brand.",https://www.google.com/maps/search/?api=1&query=Social%20Security%20Administration&query_place_id=ChIJZfrF0-GfToYRr_-Cp_YpAsk,Government office
KEHE Dallas,,,,(855) 938-1462,4450 Logistics Dr,,Dallas,Texas,Dallas,https://www.kehe.com/news-blog/news/kehe-distributors-opens-largest-distribution-center-in-dallas-texas/,1,maps_listings_same_domain_in_this_export,"Count from this Apify export only. For true TX-wide branch totals, run a second Maps search per brand.",https://www.google.com/maps/search/?api=1&query=KEHE%20Dallas&query_place_id=ChIJ2xm9pV2_ToYR01Ir2uZwHAY,Warehouse
Bell Partners Inc. - Dallas Regional Office,,,,(336) 387-5431,13455 Noel Rd #2100,,Dallas,Texas,Dallas,https://www.bellpartnersinc.com/,1,maps_listings_same_domain_in_this_export,"Count from this Apify export only. For true TX-wide branch totals, run a second Maps search per brand.",https://www.google.com/maps/search/?api=1&query=Bell%20Partners%20Inc.%20-%20Dallas%20Regional%20Office&query_place_id=ChIJbSW0tokhTIYRJ0SeUc8lCHc,District office
