"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Goodwill Industries of Dallas","3.7","107","3020 N Westmoreland Rd suite a","Dallas","Texas","US","https://www.goodwilldallas.org/","(214) 638-2800","Thrift store",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Goodwill%20Industries%20of%20Dallas&query_place_id=ChIJmbcYy8WbToYRw6H5hhKCmek","Thrift store"
"TEXCON","5","1","5942 Averill Way","Dallas","Texas","US","http://texconllc.com/","(214) 769-1217","Corporate office",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=TEXCON&query_place_id=ChIJvd-7kZG85BQReuV8IGn4awM","Corporate office"
"Weatherization Partners","3.3","7","2424 N Westmoreland Rd Suite 200","Dallas","Texas","US","https://www.weatherizationpartners.com/","(800) 288-9835","Corporate office",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Weatherization%20Partners&query_place_id=ChIJd0KWxvmcToYR0syo_DnVfGA","Corporate office"
"Freeman","3.9","76","3801 Adler Dr #150","Dallas","Texas","US","https://www.freeman.com/contact/locations/united-states/dallas","(214) 623-1300","Corporate office","Audiovisual equipment rental service","Audio visual equipment supplier","Event planner",,,,,,,"https://www.google.com/maps/search/?api=1&query=Freeman&query_place_id=ChIJgWILooycToYRO-pfWLTV3Dk","Corporate office"
"Holding Hands Hospice","4.9","55","8111 Lyndon B Johnson Fwy #1000","Dallas","Texas","US","https://www.holdinghandshospice.org/","(214) 221-0070","Hospice",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Holding%20Hands%20Hospice&query_place_id=ChIJOddkDJKgToYRj8tVw0smV7s","Hospice"
"Zavate",,,"611 W Mockingbird Ln","Dallas","Texas","US","http://zavate.com/","(702) 329-9772","Corporate office",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Zavate&query_place_id=ChIJUzltzwSdToYRrnAVRPDdwUY","Corporate office"
"Dickey's Barbecue Pit - Corporate Office","2","123","4514 Cole Ave Ste 1015","Dallas","Texas","US","https://www.dickeys.com/?utm_source=google&utm_campaign=gmb&utm_medium=organic&utm_content=button-website","","Corporate office",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dickey's%20Barbecue%20Pit%20-%20Corporate%20Office&query_place_id=ChIJD81uKiGfToYRIxw-aR6dWE8","Corporate office"
"Sammons Enterprises Inc","1","2","5949 Sherry Ln # 1900","Dallas","Texas","US","https://www.sammonsenterprises.com/","(214) 210-5000","Holding company","Insurance agency",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sammons%20Enterprises%20Inc&query_place_id=ChIJMwi6CUOeToYRyQ0MY6Ek_7M","Holding company"
"Lavaro Capital Holdings",,,"8235 Douglas Ave Suite 950","Dallas","Texas","US","https://lavorocapital.com/","(214) 462-7140","Investment company",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Lavaro%20Capital%20Holdings&query_place_id=ChIJaeBFVE-fToYRsFg5AbCZIEI","Investment company"
"SWK Holdings Corporation",,,"5956 Sherry Ln suite 650","Dallas","Texas","US","http://www.swkhold.com/","(972) 687-7250","Corporate office","Investment company",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=SWK%20Holdings%20Corporation&query_place_id=ChIJkSZDAkchTIYRA4n4V8gT1s8","Corporate office"
"PEPSI Technology Process Center","4","22","3420 Duncanville Rd","Dallas","Texas","US","http://www.fritolay.com/","(800) 352-4477","Corporate office",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=PEPSI%20Technology%20Process%20Center&query_place_id=ChIJhzf-uw6QToYRFy4EnfwXah0","Corporate office"
"The Nayeb Group",,,"6336 Greenville Ave","Dallas","Texas","US","http://nayebgroup.com/","(214) 884-8777","Property investment company","Property management company",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Nayeb%20Group&query_place_id=ChIJq6paJTMgTIYRS1rvQl7M1lQ","Property investment company"
"Catalyst Holdings",,,"Centrum, 3102 Oak Lawn Ave UNIT 530","Dallas","Texas","US","http://www.catalystholdco.com/","(214) 932-3030","Investment service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Catalyst%20Holdings&query_place_id=ChIJ1drHbdCeToYRBBmSJ4c9amI","Investment service"
"Valassis","3.6","34","600 N Cockrell Hill Rd","Dallas","Texas","US","https://www.commercialcafe.com/commercial-property/us/tx/dallas/600-north-cockrell-hill-road/","(214) 353-6200","Corporate office",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Valassis&query_place_id=ChIJWyiXF-OaToYR9k_ybP7KKIQ","Corporate office"
"Last Email * Message * Submit Sethi Holding Company",,,"1910 Pacific Ave Suite 16700","Dallas","Texas","US","http://sethiholding.com/","(469) 206-6965","Holding company",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Last%20Email%20*%20Message%20*%20Submit%20Sethi%20Holding%20Company&query_place_id=ChIJNRrw0CGZToYR3zR4L1ZENtU","Holding company"
"Bodle Property Holdings LLC",,,"12830 Hillcrest Rd","Dallas","Texas","US","https://www.bodlepropertyholdingsllc.com/contact-us/","(817) 676-8010","Real estate agency",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bodle%20Property%20Holdings%20LLC&query_place_id=ChIJDeoyilsgTIYRs0u6q8eq9Ys","Real estate agency"
"Travis Street Hospitality",,,"4501 Travis St B","Dallas","Texas","US","https://tshdallas.com/","","Holding company",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Travis%20Street%20Hospitality&query_place_id=ChIJGbQKnVmfToYReutcTSTkv-U","Holding company"
"JTG Holdings",,,"5005 Lyndon B Johnson Fwy Suite 350","Dallas","Texas","US","http://jtgholdings.com/","(972) 231-8200","Holding company",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=JTG%20Holdings&query_place_id=ChIJVVWV3dogTIYRtLYE7-HQiq0","Holding company"
"Atlantic Packaging","4.7","74","3890 La Reunion Pkwy","Dallas","Texas","US","https://www.atlanticpkg.com/","(469) 621-4440","Corporate office","Packaging company",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Atlantic%20Packaging&query_place_id=ChIJ8YD3HA6bToYRDy8otv8jW4Q","Corporate office"
"United States Post Office Network Distribution Center","1.7","164","2400 Dallas Fort Worth Turnpike","Dallas","Texas","US","http://www.usps.com/","(800) 222-1811","Federal government office",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=United%20States%20Post%20Office%20Network%20Distribution%20Center&query_place_id=ChIJm-bcTbebToYR7naRLybj-Xk","Federal government office"
"United States Patent and Trademark Office (USPTO) Texas Regional Office","4","10","207 S Houston St #159","Dallas","Texas","US","http://www.uspto.gov/texas","(469) 295-9000","Federal government office",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=United%20States%20Patent%20and%20Trademark%20Office%20(USPTO)%20Texas%20Regional%20Office&query_place_id=ChIJ4V3ZnhaZToYRPawn4G5Tm08","Federal government office"
