email;company_name;totalScore;reviewsCount;street;city;state;country;website;phone;categories/0;categories/1;categories/2;categories/3;categories/4;categories/5;categories/6;categories/7;google_maps_url;categoryName;lead_score
apartments.praga@gmail.com;PRAGA APARTMENTS;4.7;133.0;Dátiles 412;Guayaquil;;EC;https://www.instagram.com/praga.apartments/?hl=en;+593 95 953 4489;Hotel de larga estancia;Agencia de alquiler de apartamentos;;;;;;;https://www.google.com/maps/search/?api=1&query=PRAGA%20APARTMENTS&query_place_id=ChIJsywC6JJtLZARloxz3-6DbUE;Hotel de larga estancia;95
;GRUPO INMOBIENES;4.4;40.0;Av. 2 N-E - Ing. Rodolfo Baquerizo Nazur y 7° Pasaje 1A N-E Isla Española;Guayaquil;;EC;https://www.instagram.com/inmo_bienesec?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==;+593 99 105 2697;Agencia de bienes inmuebles comerciales;;;;;;;;https://www.google.com/maps/search/?api=1&query=GRUPO%20INMOBIENES&query_place_id=ChIJ1yG1oudtLZARXKCi-6PxZ_8;Agencia de bienes inmuebles comerciales;95
;TERRATOWERS S.A.S.;;;Recinto Nueva Esperanza, Vía a la Costa 5, Km 19;Guayaquil;;EC;https://terratower.ec/;+593 99 030 0442;Promotora inmobiliaria;;;;;;;;https://www.google.com/maps/search/?api=1&query=TERRATOWERS%20S.A.S.&query_place_id=ChIJMeqJzpJzLZAR0b_42Xhg0LA;Promotora inmobiliaria;75
oym@marclub.com;Punta Blanca;4.0;3.0;Plaza Quil, Av. Carlos Luis Plaza Dañin, Local 8-9-10;Guayaquil;;EC;http://www.puntablanca.com/;+593 4-228-4050;Agencia de bienes inmuebles comerciales;;;;;;;;https://www.google.com/maps/search/?api=1&query=Punta%20Blanca&query_place_id=ChIJXWzAJJVtLZARBpw36YQt1R0;Agencia de bienes inmuebles comerciales;75
;Bienes Raíces Catedral Cía. Ltda.;4.5;19.0;Victor Emilio Estrada 12-38 y, Costanera y Victor Emilio Estrada 1238;Guayaquil;;EC;http://www.bienesraicescatedral.com/;+593 99 028 2456;Agencia de bienes inmuebles comerciales;;;;;;;;https://www.google.com/maps/search/?api=1&query=Bienes%20Ra%C3%ADces%20Catedral%20C%C3%ADa.%20Ltda.&query_place_id=ChIJt1zKI41tLZARbrBEONWatwQ;Agencia de bienes inmuebles comerciales;75
;ABR Commercial (ALFA Bienes Raíces);4.0;6.0;Av Benjamín Carrión Mora y Edif;Guayaquil;;EC;http://www.alfabienes.com/;+593 99 383 3168;Agencia inmobiliaria;;;;;;;;https://www.google.com/maps/search/?api=1&query=ABR%20Commercial%20(ALFA%20Bienes%20Ra%C3%ADces)&query_place_id=ChIJqUH2U3ptLZARPVqhS70j2vM;Agencia inmobiliaria;75
;Mundo Ambiensa - Sala de ventas;;;QW6F+Q9W;Guayaquil;;EC;https://www.ambiensa.com/;+593 96 368 4470;Agencia inmobiliaria;;;;;;;;https://www.google.com/maps/search/?api=1&query=Mundo%20Ambiensa%20-%20Sala%20de%20ventas&query_place_id=ChIJR9Ucjtd3LZAR99t_9-yP810;Agencia inmobiliaria;75
;Bienes y Raíces Tonny;4.4;14.0;Transversal 29;Guayaquil;;EC;https://m.facebook.com/fullavado/;+593 98 997 0258;Agencia de bienes inmuebles comerciales;;;;;;;;https://www.google.com/maps/search/?api=1&query=Bienes%20y%20Ra%C3%ADces%20Tonny&query_place_id=ChIJe2yBlRpvLZARbtWAuD3Y2hc;Agencia de bienes inmuebles comerciales;75
;Renato Lainez;;;Km. 58.5, Vía a la Costa;Guayaquil;;EC;http://buganville.com/;+593 99 312 9210;Promotora inmobiliaria;;;;;;;;https://www.google.com/maps/search/?api=1&query=Renato%20Lainez&query_place_id=ChIJayIZFyJ1LZARvXX7MEodxeA;Promotora inmobiliaria;75
;Costa Gardens;4.3;6.0;Vía a la Costa 5, Km 15;Guayaquil;;EC;http://www.inmocost.com/;+593 4-268-1385;Urbanización;;;;;;;;https://www.google.com/maps/search/?api=1&query=Costa%20Gardens&query_place_id=ChIJ086_sQ9zLZARiMyoTQ_VqrM;Urbanización;75
;InmobilIaria Caracol;;;Vía a la Costa 11,5;Guayaquil;;EC;http://www.inmobiliariacaracol.com/;+593 99 229 0830;Agencia inmobiliaria;;;;;;;;https://www.google.com/maps/search/?api=1&query=InmobilIaria%20Caracol&query_place_id=ChIJoTKNst5zLZAR9buy6XfUFP8;Agencia inmobiliaria;75
;Grupo Proinca;;;Urbanización Costa Brisa, Vía a la Costa km 19.5;Guayaquil;;EC;https://www.grupoproinca.com/;+593 99 725 4461;Agencia de bienes inmuebles comerciales;;;;;;;;https://www.google.com/maps/search/?api=1&query=Grupo%20Proinca&query_place_id=ChIJGSEYzb53LZARKVzXMMCSE3I;Agencia de bienes inmuebles comerciales;75
;Beth Parrales Bienes Raices;5.0;17.0;Villas del Bosque 1;Guayaquil;;EC;https://century21.com.ec/asesor/19_beth-parrales-giler;+593 93 916 9791;Agentes inmobiliarios;;;;;;;;https://www.google.com/maps/search/?api=1&query=Beth%20Parrales%20Bienes%20Raices&query_place_id=ChIJWeuQ2RVtLZARsnuVr3-bpIA;Agentes inmobiliarios;75
;R3PCNET SALA DE CAPACITACIONES;4.7;3.0;Cdla. Kennedy Nueva Plaza Dañin #3 y, Av. Miguel H. Alcivar;Guayaquil;;EC;http://www.r3pcnet.net/;+593 98 055 5080;Agencia de alquiler de espacios para oficinas;;;;;;;;https://www.google.com/maps/search/?api=1&query=R3PCNET%20SALA%20DE%20CAPACITACIONES&query_place_id=ChIJHWCeCx9tLZARdH4JXd_0twk;Agencia de alquiler de espacios para oficinas;75
;HQ Nahim Isaias;;;Avendia Miguel H. Alcivar 9 Esq, Nahím Isaías Barquet S/N;Guayaquil;;EC;https://www.hq.com/en/ecuador/guayas/samborondon?utm_source=google_uberall&utm_medium=places&utm_campaign=uberall&utm_content=uberall;+593 4-371-6666;Agencia de alquiler de espacios para oficinas;Centro de negocios;Espacio de coworking;Alquiler de oficinas virtuales;;;;;https://www.google.com/maps/search/?api=1&query=HQ%20Nahim%20Isaias&query_place_id=ChIJ__2UrNRtLZAReRFPvF3cyzk;Agencia de alquiler de espacios para oficinas;75
;Urb. Villa blanca;4.4;42.0;Vía a la Costa Km 24;Guayaquil;;EC;http://villablanca.ec/;+593 4-393-0142;Urbanización;;;;;;;;https://www.google.com/maps/search/?api=1&query=Urb.%20Villa%20blanca&query_place_id=ChIJXRTHPxp3LZAR2lBsPVllXEU;Urbanización;75
;Máster Inmobiliario;;;;Guayaquil;;EC;https://www.plusvalia.com/inmobiliarias/master-inmobiliario_50271852-inmuebles.html;+593 99 800 5491;Agencia inmobiliaria;;;;;;;;https://www.google.com/maps/search/?api=1&query=M%C3%A1ster%20Inmobiliario&query_place_id=ChIJGUpuC0ttLZARVInWEfGOt_8;Agencia inmobiliaria;75
;Perarsa Inmobiliaria;4.8;4.0;R4H5+R3V;Guayaquil;;EC;https://www.facebook.com/InmobiliariaPerarsa/;+593 4-228-1721;Oficinas de empresa;;;;;;;;https://www.google.com/maps/search/?api=1&query=Perarsa%20Inmobiliaria&query_place_id=ChIJReVXo8BtLZARqUEnkDaTv0w;Oficinas de empresa;75
;HFJM Ingenieros Consultores. URDESA, Guayaquil.;;;Acacias 1012;Guayaquil;;EC;https://x.com/HFJMINGENIERIA;+593 99 392 7249;Consultor inmobiliario;;;;;;;;https://www.google.com/maps/search/?api=1&query=HFJM%20Ingenieros%20Consultores.%20URDESA%2C%20Guayaquil.&query_place_id=ChIJmSLgBZJtLZAR4Y-KkNs7pbo;Consultor inmobiliario;75
;Terranostra;4.5;388.0;RX6X+53, 5 de la y Vía a la Costa Km 13;Guayaquil;;EC;https://www.terranostra.com.ec/;+593 97 983 5680;Urbanización;;;;;;;;https://www.google.com/maps/search/?api=1&query=Terranostra&query_place_id=ChIJdZiG8gFzLZARoYBK9jMMc1o;Urbanización;75
;HQ Atahualpa;;;4th Floor, C 1 NE - Francisco Dep. Icaza 437;Guayaquil;;EC;https://www.hq.com/en/ecuador/guayas/guayaquil?utm_source=google_uberall&utm_medium=places&utm_campaign=uberall&utm_content=uberall;+593 4-371-6666;Agencia de alquiler de espacios para oficinas;Centro de negocios;Espacio de coworking;Alquiler de oficinas virtuales;;;;;https://www.google.com/maps/search/?api=1&query=HQ%20Atahualpa&query_place_id=ChIJ_ff-33tvLZARUkdCDpqCg5Y;Agencia de alquiler de espacios para oficinas;75
;Inmobiliaria Mastarreno;4.9;72.0;CC Plaza Quil Oficina N° 1;Guayaquil;;EC;https://www.inmobiliariamastarreno.com/;+593 96 913 9500;Agencia de bienes inmuebles comerciales;;;;;;;;https://www.google.com/maps/search/?api=1&query=Inmobiliaria%20Mastarreno&query_place_id=ChIJP-PxgittLZAR5D3DkvkbE5A;Agencia de bienes inmuebles comerciales;75
;Cabaña Las Palmeras;;;Coop Polo Sur Mz N Solar 13;Guayaquil;;EC;https://www.facebook.com/SalangoLasPalmeras/?hc_ref=ARRJyjiGp2QeZxWnH2l62SYcOxVsbXpdFFOJIfGvgCDEeIs8pGe_Q2hw4tl5Q0QzKmg&fref=tag&__xts__[0]=68.ARC-YtXuGzsgW_mtTYC7Lc9Tm9yhxZhCtF9assvqBuhnwG9KolYuJ77ldv5n-9u64a7M4lRAy16Ot30Vhy14fC27PFGisL_OTQa0r8zAOhvfN_NkoXxThUOMuOb2Nyv3ufS644pT4dLmbYFLRnh46G_PdcceMw9rT_XlmHLuOZak76wd9bviaek&__tn__=kC-R;+593 99 108 4148;Agencia de alquiler de cabañas;;;;;;;;https://www.google.com/maps/search/?api=1&query=Caba%C3%B1a%20Las%20Palmeras&query_place_id=ChIJfb6K53FvLZARDHjYOs8a_GQ;Agencia de alquiler de cabañas;75
