"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Spa Order","4.7","76","4001 E Plano Pkwy # 100","Plano","Texas","US","http://www.spaorder.com/","(833) 907-1791","Wholesaler","Beauty products wholesaler",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Spa%20Order&query_place_id=ChIJzfSVplzZ3IARu7Kdat2is8I","Wholesaler"
"Derma Med Spa - Plano","4.7","55","2301 N Central Expy 272 (2nd Floor","Plano","Texas","US","http://www.dermamedspas.com/","(945) 284-8547","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Derma%20Med%20Spa%20-%20Plano&query_place_id=ChIJj7n1haYZTIYRVjucP9vwHCo","Medical spa"
"Revived Aesthetics","5","113","1805 Preston Rd Ste 102","Plano","Texas","US","https://www.revived-aesthetics.com/","(214) 885-7131","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Revived%20Aesthetics&query_place_id=ChIJ5w1A2k0jTIYRpk1ug7WFY04","Medical spa"
"Dallas Dermatology and Aesthetics","4.9","282","4104 W 15th St STE 202","Plano","Texas","US","https://www.dallasdermmd.com/","(972) 608-3100","Dermatologist","Doctor","Skin care clinic","Surgical center",,,,,,,"https://www.google.com/maps/search/?api=1&query=Dallas%20Dermatology%20and%20Aesthetics&query_place_id=ChIJISEAPeYjTIYRLjx5XkhNBa0","Dermatologist"
"Medical Aesthetics of North Dallas","4.9","153","6541 Preston Rd STE 300","Plano","Texas","US","https://northdallasmedspa.com/?utm_source=GMBSocialClimb&utm_medium=MedicalAestheticsofNorthDallas","(214) 577-1777","Skin care clinic","Laser hair removal service","Medical spa",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Medical%20Aesthetics%20of%20North%20Dallas&query_place_id=ChIJjbdK20wiTIYR0nqdZPir3lw","Skin care clinic"
"Intricate Health OB/GYN","4.5","114","525 Shiloh Rd Ste 2100","Plano","Texas","US","https://www.intricatehealth.net/","(469) 640-6423","Women's health clinic","Medical spa",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Intricate%20Health%20OB%2FGYN&query_place_id=ChIJoZjy1Ms0OmQRMzgWzSfBrKc","Women's health clinic"
"Nūr Skin Aesthetics","5","37","3921 W Park Blvd 150 Suite 129","Plano","Texas","US","https://nr-skin-aesthetics.square.site/","(469) 361-7226","Day spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=N%C5%ABr%20Skin%20Aesthetics&query_place_id=ChIJeTaYxM8jTIYRlNIoDuhK2Qc","Day spa"
"Massage Envy","4.5","245","6101 K Ave Ste 160","Plano","Texas","US","https://locations.massageenvy.com/texas/plano/6101-avenue-k.html?utm_source=GMB&utm_medium=useractions&utm_campaign=website","(972) 516-8888","Massage spa","Day spa","Esthetics service","Facial spa","Massage therapist","Reflexologist","Skin care clinic","Spa","Sports massage therapist","Wellness center","https://www.google.com/maps/search/?api=1&query=Massage%20Envy&query_place_id=ChIJje3qQMcZTIYRKWhB9utlnT8","Massage spa"
"Robert Marinaro, MD","4.9","491","3600 Shire Blvd #210","Richardson","Texas","US","https://www.usdermatologypartners.com/provider/robert-marinaro-md/?utm_source=pg-google&utm_medium=organic&utm_campaign=pg-listings","(469) 326-3376","Dermatologist",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Robert%20Marinaro%2C%20MD&query_place_id=ChIJvU05qqsZTIYRxQzWnngpQQI","Dermatologist"
"MEDSPA 33","5","71","525 Shiloh Rd Suite 2500","Plano","Texas","US","https://www.medspa33.com/","(469) 953-3812","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=MEDSPA%2033&query_place_id=ChIJWZngp5oZTIYRSD8tsHSgKqM","Medical spa"
