company_name,totalScore,reviewsCount,street,city,state,country,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,google_maps_url,categoryName,email,lead_score
Spa Order,4.7,76,4001 E Plano Pkwy # 100,Plano,Texas,US,http://www.spaorder.com/,(833) 907-1791,Wholesaler,Beauty products wholesaler,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Spa%20Order&query_place_id=ChIJzfSVplzZ3IARu7Kdat2is8I,Wholesaler,,55
Oral Surgery Associates of North Texas,4.9,448,5501 Independence Pkwy Ste 104,Plano,Texas,US,https://www.northtexasoralsurgery.com/,(972) 985-7555,Oral surgeon,Dental implants periodontist,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Oral%20Surgery%20Associates%20of%20North%20Texas&query_place_id=ChIJuyVlI-8jTIYRD1752YS47OA,Oral surgeon,,55
LifeSpa,4.9,65,7100 Preston Rd,Plano,Texas,US,https://my.lifetime.life/clubs/tx/plano/services/lifespa.html,(972) 202-8124,Hair salon,Beauty salon,Day spa,Facial spa,Massage spa,Massage therapist,Nail salon,Spa,Waxing hair removal service,,https://www.google.com/maps/search/?api=1&query=LifeSpa&query_place_id=ChIJwczoBSsjTIYR8hpsvxJOv5U,Hair salon,,55
"Scott Harris, MD",4.7,65,6020 W Plano Pkwy,Plano,Texas,US,https://www.scottharrismd.com/,(972) 543-2474,Plastic surgeon,Hair replacement service,Hair transplantation clinic,Plastic surgery clinic,Skin care clinic,Surgical center,,,,,https://www.google.com/maps/search/?api=1&query=Scott%20Harris%2C%20MD&query_place_id=ChIJ87k4kmUiTIYRaI1wEio0nM0,Plastic surgeon,,55
"Lam Facial Plastics - Samuel M. Lam, MD, FACS",4.6,396,6101 Chapel Hill Blvd Suite 101,Plano,Texas,US,https://www.lamfacialplastics.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=Samuel-M-Lam-MD-FACS-LamFacial-Plastics&utm_content=website,(972) 312-8188,Plastic surgeon,Facial spa,Plastic surgery clinic,Skin care clinic,Surgical center,,,,,,https://www.google.com/maps/search/?api=1&query=Lam%20Facial%20Plastics%20-%20Samuel%20M.%20Lam%2C%20MD%2C%20FACS&query_place_id=ChIJV4Kztn0jTIYRmp1npkS94Z0,Plastic surgeon,,55
Vida Bela Plastic Surgery: Chelsea Snider MD,4.9,378,3108 Midway Rd STE 102,Plano,Texas,US,http://www.vidabelaplasticsurgery.com/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb,(469) 598-2400,Plastic surgeon,Beauty product supplier,Cosmetic surgeon,Laser hair removal service,Medical spa,Pediatric surgeon,Plastic surgery clinic,Skin care clinic,Spa,Surgeon,https://www.google.com/maps/search/?api=1&query=Vida%20Bela%20Plastic%20Surgery%3A%20Chelsea%20Snider%20MD&query_place_id=ChIJVWcTPVk9TIYRrJHdmg74wuw,Plastic surgeon,,55
OVME,4.7,160,7500 Windrose Ave. Suite B192,Plano,Texas,US,https://ovme.com/pages/legacy-west-plano-tx,(469) 915-6863,Medical spa,Laser hair removal service,,,,,,,,,https://www.google.com/maps/search/?api=1&query=OVME&query_place_id=ChIJX0R_nmg9TIYROzWzfs-ym2s,Medical spa,,55
Renaissance Plastic Surgery,4.8,519,5880 Ashmill Dr STE 200,Plano,Texas,US,https://www.renaissanceplasticsurgerytx.com/,(972) 378-3870,Plastic surgeon,Cosmetic surgeon,Hair transplantation clinic,Plastic surgery clinic,Surgeon,,,,,,https://www.google.com/maps/search/?api=1&query=Renaissance%20Plastic%20Surgery&query_place_id=ChIJxZS2PF8jTIYRp0UTx7teTAA,Plastic surgeon,,55
Plano Plastic Spa,4.9,74,4100 W 15th St STE 106,Plano,Texas,US,https://planoplasticspa.com/?utm_source=google&utm_medium=gbp&utm_campaign=gmb,(972) 599-2900,Medical spa,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Plano%20Plastic%20Spa&query_place_id=ChIJ238AKWgiTIYR3OGSqt5xWkg,Medical spa,,55
Derma Med Spa - Plano,4.7,55,2301 N Central Expy 272 (2nd Floor,Plano,Texas,US,http://www.dermamedspas.com/,(945) 284-8547,Medical spa,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Derma%20Med%20Spa%20-%20Plano&query_place_id=ChIJj7n1haYZTIYRVjucP9vwHCo,Medical spa,,55
Sterling Salon Suites,4.6,55,3645 Dallas Pkwy suite 501,Plano,Texas,US,https://sterlingsalonsuites.com/,(214) 308-0177,Coworking space,Beauty salon,Hair removal service,Hair salon,Make-up artist,Massage therapist,Skin care clinic,Stylist,,,https://www.google.com/maps/search/?api=1&query=Sterling%20Salon%20Suites&query_place_id=ChIJuXLimmAjTIYRXOGMTOjSydg,Coworking space,,55
Simplicity Laser,4.8,230,7200 Bishop Rd Ste D260,Plano,Texas,US,https://simplicitylaser.com/pages/laser-hair-removal-in-plano-tx,(800) 559-9138,Laser hair removal service,Hair removal service,Health and beauty shop,Medical spa,Skin care clinic,,,,,,https://www.google.com/maps/search/?api=1&query=Simplicity%20Laser&query_place_id=ChIJlTbzvrQ9TIYRiwqB5CTp9mI,Laser hair removal service,,55
It's A Secret Med Spa,4.7,378,8232 Preston Rd Suite 115,Plano,Texas,US,https://secretmedspa.com/plano-tx/,(469) 786-5874,Medical spa,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=It's%20A%20Secret%20Med%20Spa&query_place_id=ChIJAQCQZ8M8TIYR76vlNNqSr9U,Medical spa,,55
beem® Light Sauna West Plano,4.9,72,2108 Dallas Pkwy #216A,Plano,Texas,US,https://beemlightsauna.com/west-plano/,(214) 789-5425,Health spa,Sauna,Spa,Wellness center,,,,,,,https://www.google.com/maps/search/?api=1&query=beem%C2%AE%20Light%20Sauna%20West%20Plano&query_place_id=ChIJJV6F-GAjTIYREzW0hsBD9S4,Health spa,,55
Advanced Dermasurgery Associates,4.6,76,5060 Tennyson Pkwy Ste 200,Plano,Texas,US,https://drposten.com/?utm_source=gbp&utm_medium=organic&utm_campaign=website_link&y_source=1_NjYyNDA0ODAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(972) 726-6647,Dermatologist,Skin care clinic,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Advanced%20Dermasurgery%20Associates&query_place_id=ChIJ-fOpaJYyTIYRWcN6bm2lnKE,Dermatologist,,55
Brilliance Skin and Laser,4.9,56,5813 Preston Rd 554 Suite 202,Plano,Texas,US,https://www.brillianceskin.us/specials,(469) 450-0012,Medical spa,Facial spa,Laser hair removal service,,,,,,,,https://www.google.com/maps/search/?api=1&query=Brilliance%20Skin%20and%20Laser&query_place_id=ChIJAYYeJzEjTIYRi62Ieo-SVE0,Medical spa,,55
Lift N Fill Aesthetics By Sandra (liftnfill),5.0,51,"6505 W Park Blvd Suite 160, Studio 105",Plano,Texas,US,https://liftnfillaestheticsbysandra.janeapp.com/,(469) 769-0108,Medical spa,Skin care clinic,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Lift%20N%20Fill%20Aesthetics%20By%20Sandra%20(liftnfill)&query_place_id=ChIJIemB9B8lTIYRvNLPGoJrFmM,Medical spa,,55
Sada Cosmetic NP Med Spa/Botox & Filler Plano,5.0,54,7800 Preston Rd # 145,Plano,Texas,US,http://www.sadamedspa.com/,(214) 207-4649,Medical spa,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sada%20Cosmetic%20NP%20Med%20Spa%2FBotox%20%26%20Filler%20Plano&query_place_id=ChIJNZ1E5DofTIYRZNx8BmRkQUw,Medical spa,,55
Metamorph Med Spa,5.0,467,960 Ohio Dr Suite 200,Plano,Texas,US,https://www.metamorphmedspa.com/,(972) 519-3134,Medical spa,Health spa,IV therapy service,Skin care clinic,Weight loss service,Wellness center,,,,,https://www.google.com/maps/search/?api=1&query=Metamorph%20Med%20Spa&query_place_id=ChIJXSQ8-eIjTIYRAIZoiBgLKsw,Medical spa,,55
Atlas Cosmetic & Family Dentistry of Plano,4.9,293,909 W Spring Creek Pkwy Ste 490,Plano,Texas,US,https://www.atlasdentistryplano.com/,(469) 367-0266,Dentist,Cosmetic dentist,Dental clinic,Dental implants provider,Emergency dental service,Pediatric dentist,,,,,https://www.google.com/maps/search/?api=1&query=Atlas%20Cosmetic%20%26%20Family%20Dentistry%20of%20Plano&query_place_id=ChIJrTN68lwZTIYRp0mrgK2M7Qw,Dentist,,55
All About Beauty Academy,4.9,99,5501 Independence Pkwy Suite 310,Plano,Texas,US,http://www.allaboutbeautyacademy.com/,(469) 463-3090,Beauty school,Barber school,Education center,Esthetics service,Laser hair removal service,Permanent make-up clinic,Training center,Vocational school,,,https://www.google.com/maps/search/?api=1&query=All%20About%20Beauty%20Academy&query_place_id=ChIJaRs_kE8ZTIYRUfWPqVaICIE,Beauty school,,55
Restore Hyper Wellness,4.9,279,1941 Preston Rd #1035,Plano,Texas,US,https://www.restore.com/locations/tx-plano-tx005?utm_source=gmb&utm_medium=Yext&y_source=1_MzE2Mjk5MjctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(469) 969-2878,Medical spa,IV therapy service,Wellness center,,,,,,,,https://www.google.com/maps/search/?api=1&query=Restore%20Hyper%20Wellness&query_place_id=ChIJrw3b2KsjTIYRjw4pGilRSB0,Medical spa,,55
Innovative Dermatology,4.8,1071,8080 Independence Pkwy #150,Plano,Texas,US,https://innovative-dermatology.com/?utm_source=gbp&utm_medium=organic&utm_campaign=website_link&y_source=1_NjYyNDA1MDUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(214) 919-3500,Dermatologist,Pediatric dermatologist,Skin care clinic,,,,,,,,https://www.google.com/maps/search/?api=1&query=Innovative%20Dermatology&query_place_id=ChIJi4Bhp-IXTIYRgQzrvCBWmAI,Dermatologist,,55
Park Mall Animal Clinic,4.8,729,2721 Dobie Dr,Plano,Texas,US,http://www.pmacplano.com/,(972) 423-1804,Animal hospital,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Park%20Mall%20Animal%20Clinic&query_place_id=ChIJjd6Z-wYZTIYRFi5SPCfGd9U,Animal hospital,,55
Stone International Wellness Center,5.0,85,1108 W Parker Rd Ste 102,Plano,Texas,US,https://www.stoneiwc.com/,(972) 473-2205,Holistic medicine practitioner,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Stone%20International%20Wellness%20Center&query_place_id=ChIJtZdWkHgjTIYR1-jXe7wCbjM,Holistic medicine practitioner,,55
Themedspabyrayray,4.8,64,6200 Chase Oaks Blvd #101,Plano,Texas,US,https://linktr.ee/rayrayspa,(682) 521-6752,Medical spa,Medical clinic,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Themedspabyrayray&query_place_id=ChIJn3mn9kQpTIYRHg6ibibhCgA,Medical spa,,55
Dallas Associated Dermatologists,4.9,3042,7000 Preston Rd Suite #500,Plano,Texas,US,https://dallasassocderm.com/?utm_source=gbp&utm_medium=organic&utm_campaign=website_link&y_source=1_NjYyNDA0OTUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(214) 987-3376,Dermatologist,Skin care clinic,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Dallas%20Associated%20Dermatologists&query_place_id=ChIJgQ_QHCsjTIYRx-Lu2FI-Hf8,Dermatologist,,55
