email,company,website,phone,city,state,country,google_maps_url,lead_score,email_source,email_source_url,mx_ok,smtp_status,is_catchall,confidence,person_name,person_title,pages_tried,pages_ok,bot_blocked,errors
amiraspaandsalon@gmail.com,Amira's Cryo Spa And Salon,https://amirascryospahouston.zoca.com/,(832) 973-1156,Houston,Texas,US,https://www.google.com/maps/search/?api=1&query=Amira's%20Cryo%20Spa%20And%20Salon&query_place_id=ChIJdT__bvTFQIYR9wBS8U8MMyU,0,mailto,https://amirascryospahouston.zoca.com/,0,skipped,0,40,,,6,1,0,status_404;status_404;status_404;status_404;status_404
data-variable-text-value=amiraspaandsalon@gmail.com,Amira's Cryo Spa And Salon,https://amirascryospahouston.zoca.com/,(832) 973-1156,Houston,Texas,US,https://www.google.com/maps/search/?api=1&query=Amira's%20Cryo%20Spa%20And%20Salon&query_place_id=ChIJdT__bvTFQIYR9wBS8U8MMyU,0,html_raw,https://amirascryospahouston.zoca.com/,0,skipped,0,10,,,6,1,0,status_404;status_404;status_404;status_404;status_404
info@antiageinstitute.com,Antiage Institute,https://antiageinstitute.com/,(832) 430-7768,Houston,Texas,US,https://www.google.com/maps/search/?api=1&query=Antiage%20Institute&query_place_id=ChIJJSZRF_rAQIYRPgG8GZnKnh8,0,mailto,https://antiageinstitute.com/,0,skipped,0,25,,,6,3,0,status_404;status_404;status_404
info@aurum.health,Aurum Health,https://aurumhealth.com/,(214) 865-7800,Dallas,Texas,US,https://www.google.com/maps/search/?api=1&query=Aurum%20Health&query_place_id=ChIJD8LET6GZToYRSleYd2kkdPw,0,plain_text,https://aurumhealth.com/,0,skipped,0,0,,,6,6,0,
info@avivamedicalspa.com,Aviva Medical Spa,https://avivamedicalspa.com/,(786) 812-8622,Miami,Florida,US,https://www.google.com/maps/search/?api=1&query=Aviva%20Medical%20Spa&query_place_id=ChIJPzO231ax2YgRaoJeTYze_Xs,0,mailto,https://avivamedicalspa.com/,0,skipped,0,25,,,6,3,0,status_404;status_404;status_404
pablo@avanmed.com,Aviva Medical Spa,https://avivamedicalspa.com/,(786) 812-8622,Miami,Florida,US,https://www.google.com/maps/search/?api=1&query=Aviva%20Medical%20Spa&query_place_id=ChIJPzO231ax2YgRaoJeTYze_Xs,0,html_raw,https://avivamedicalspa.com/contact,0,skipped,0,10,,,6,3,0,status_404;status_404;status_404
temailinfo@avivamedicalspa.com,Aviva Medical Spa,https://avivamedicalspa.com/,(786) 812-8622,Miami,Florida,US,https://www.google.com/maps/search/?api=1&query=Aviva%20Medical%20Spa&query_place_id=ChIJPzO231ax2YgRaoJeTYze_Xs,0,html_raw,https://avivamedicalspa.com/contact,0,skipped,0,10,,,6,3,0,status_404;status_404;status_404
info@bcrnaesthetics.com,BCRN Aesthetics MedSpa,https://bcrnaesthetics.com/,(346) 738-9897,Houston,Texas,US,https://www.google.com/maps/search/?api=1&query=BCRN%20Aesthetics%20MedSpa&query_place_id=ChIJeXkfMInAQIYRs7tW0wKaBUg,0,cf_decode,https://bcrnaesthetics.com/,0,skipped,0,20,,,6,3,0,status_404;timeout;timeout
info@behuemn.com,Huemn - Heights MKT,https://behuemn.com/,(832) 979-5618,Houston,Texas,US,https://www.google.com/maps/search/?api=1&query=Huemn%20-%20Heights%20MKT&query_place_id=ChIJyQaw9BXHQIYR_Rw8UTLf9pY,0,ld_json,https://behuemn.com/,0,skipped,0,15,,,6,3,0,status_404;status_404;status_404
houston@huemn.medically,Huemn - Heights MKT,https://behuemn.com/,(832) 979-5618,Houston,Texas,US,https://www.google.com/maps/search/?api=1&query=Huemn%20-%20Heights%20MKT&query_place_id=ChIJyQaw9BXHQIYR_Rw8UTLf9pY,0,obfuscated,https://behuemn.com/,0,skipped,0,10,,,6,3,0,status_404;status_404;status_404
care@huemn.many,Huemn - Heights MKT,https://behuemn.com/,(832) 979-5618,Houston,Texas,US,https://www.google.com/maps/search/?api=1&query=Huemn%20-%20Heights%20MKT&query_place_id=ChIJyQaw9BXHQIYR_Rw8UTLf9pY,0,obfuscated,https://behuemn.com/,0,skipped,0,10,,,6,3,0,status_404;status_404;status_404
me@all.but,Bella MedSpa - Dallas MedSpa,https://bellamedspadfw.com/,(972) 762-4636,Dallas,Texas,US,https://www.google.com/maps/search/?api=1&query=Bella%20MedSpa%20-%20Dallas%20MedSpa&query_place_id=ChIJhXBDi2OZToYReAfRqIZuXdM,0,obfuscated,https://bellamedspadfw.com/,0,skipped,0,10,,,6,3,0,status_404;status_404;status_404
customerservice@charettecosmetics.com,Charette Cosmetics Medical Spa - Miami Beach,https://charettecosmetics.com/,(404) 430-4378 ext. 3,Miami Beach,Florida,US,https://www.google.com/maps/search/?api=1&query=Charette%20Cosmetics%20Medical%20Spa%20-%20Miami%20Beach&query_place_id=ChIJ-VkNhhuz2YgR3tgNIZtgN94,0,mailto,https://charettecosmetics.com/,0,skipped,0,40,,,6,3,0,status_404;status_404;status_404
inquiry@chelseaskincenter.com,Chelsea Skin & Laser,https://chelseaskincenter.com/,(212) 675-0549,New York,New York,US,https://www.google.com/maps/search/?api=1&query=Chelsea%20Skin%20%26%20Laser&query_place_id=ChIJmR3TdLxZwokRBrnQKrZGm00,0,ld_json,https://chelseaskincenter.com/,0,skipped,0,30,,,6,3,0,status_404;status_404;status_404
contact@clearlaserskin.com,Clear Laser City Clinic,https://clearlaserskin.com/,(212) 697-1802,New York,New York,US,https://www.google.com/maps/search/?api=1&query=Clear%20Laser%20City%20Clinic&query_place_id=ChIJlfgEWYBZwokRGSzGbsmUSGI,0,plain_text,https://clearlaserskin.com/,0,skipped,0,0,,,6,3,0,status_404;status_404;status_404
contact@clearlasercity.com,Clear Laser City Clinic,https://clearlaserskin.com/,(212) 697-1802,New York,New York,US,https://www.google.com/maps/search/?api=1&query=Clear%20Laser%20City%20Clinic&query_place_id=ChIJlfgEWYBZwokRGSzGbsmUSGI,0,plain_text,https://clearlaserskin.com/,0,skipped,0,0,,,6,3,0,status_404;status_404;status_404
contact@clearlaser-queens.com,Clear Laser City Clinic,https://clearlaserskin.com/,(212) 697-1802,New York,New York,US,https://www.google.com/maps/search/?api=1&query=Clear%20Laser%20City%20Clinic&query_place_id=ChIJlfgEWYBZwokRGSzGbsmUSGI,0,plain_text,https://clearlaserskin.com/,0,skipped,0,0,,,6,3,0,status_404;status_404;status_404
contact@clearlaserjc.com,Clear Laser City Clinic,https://clearlaserskin.com/,(212) 697-1802,New York,New York,US,https://www.google.com/maps/search/?api=1&query=Clear%20Laser%20City%20Clinic&query_place_id=ChIJlfgEWYBZwokRGSzGbsmUSGI,0,plain_text,https://clearlaserskin.com/,0,skipped,0,0,,,6,3,0,status_404;status_404;status_404
